d,alpha,delta_lower,delta_upper,delta_mid,delta_ratio,barrier,barrier_ratio,curvature,curvature_step_error,series_order
2,1.400099999999999945e+01,1.785544611937472598e-05,1.785544611937472936e-05,1.785544611937472936e-05,1.785544611938462423e-02,9.764715980242755222e-10,9.764715980253578812e-04,-6.125507845882752100e+00,9.885375185092470929e-09,24
2,1.400200000000000067e+01,3.570749935249972751e-05,3.570749935249973428e-05,3.570749935249972751e-05,1.785374967624389977e-02,3.905522766300961734e-09,9.763806915745883944e-04,-6.126015768726384536e+00,1.002673766237194286e-08,24
2,1.400500000000000078e+01,8.924331052356793137e-05,8.924331052356794492e-05,8.924331052356793137e-05,1.784866210471079684e-02,2.440270294168378484e-08,9.761081176670461908e-04,-6.127539976959514689e+00,9.673327916459584230e-09,24
2,1.400999999999999979e+01,1.784018868252190693e-04,1.784018868252190964e-04,1.784018868252190693e-04,1.784018868252228857e-02,9.756542664052236802e-08,9.756542664052653135e-04,-6.130081794475019663e+00,9.794497657367173815e-09,24
2,1.401999999999999957e+01,3.564652758453745198e-04,3.564652758453745740e-04,3.564652758453745740e-04,1.782326379226911034e-02,3.898992647494159414e-07,9.747481618735813784e-04,-6.135170948331483132e+00,9.945958723278636171e-09,24
2,1.405000000000000071e+01,8.886332050936361941e-04,8.886332050936363025e-04,8.886332050936363025e-04,1.777266410187247278e-02,2.430106401385412340e-06,9.720425605541372889e-04,-6.150482689650506707e+00,9.986347748736079666e-09,24
2,1.409999999999999964e+01,1.768891023149532504e-03,1.768891023149532721e-03,1.768891023149532504e-03,1.768891023149538749e-02,9.675752669760506741e-06,9.675752669760575046e-04,-6.176150737913443933e+00,1.014790651510111275e-08,24
2,1.419999999999999929e+01,3.504708324934491248e-03,3.504708324934491682e-03,3.504708324934491248e-03,1.752354162467251869e-02,3.835183436463884821e-05,9.587958591159780357e-04,-6.228050250883464756e+00,1.042053554556332529e-08,24
2,1.434999999999999964e+01,6.048247451959254395e-03,6.048247451959255262e-03,6.048247451959254395e-03,1.728070700559788606e-02,1.158855711726886062e-04,9.460046626341946574e-04,-6.307335919482292219e+00,1.056189979919963662e-08,24
2,1.450000000000000000e+01,8.521967154199337410e-03,8.521967154199339145e-03,8.521967154199339145e-03,1.704393430839867829e-02,2.334128817668423839e-04,9.336515270673695355e-04,-6.388390448208031813e+00,1.103648017419800453e-08,24
2,1.475000000000000000e+01,1.249665238962399672e-02,1.249665238962399845e-02,1.249665238962399672e-02,1.666220318616533011e-02,5.141204067385385379e-04,9.139918342018463378e-04,-6.527553017482751407e+00,1.176349329057302384e-08,24
2,1.500000000000000000e+01,1.629577792368846686e-02,1.629577792368847033e-02,1.629577792368847033e-02,1.629577792368847033e-02,8.954316839121928551e-04,8.954316839121928551e-04,-6.672018828971680193e+00,1.202602550876008536e-08,24
