d,alpha,delta,gamma,objective_minus_endpoint,series_order
2,1.350000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,24
2,1.350000000000000000e+01,1.428571428571428679e-04,9.998571428571428887e-01,-7.834924777960772246e-06,24
2,1.350000000000000000e+01,2.857142857142857357e-04,9.997142857142856665e-01,-1.578666571272480112e-05,24
2,1.350000000000000000e+01,4.285714285714285494e-04,9.995714285714285552e-01,-2.385516559047506924e-05,24
2,1.350000000000000000e+01,5.714285714285714714e-04,9.994285714285714439e-01,-3.204036692736056402e-05,24
2,1.350000000000000000e+01,7.142857142857142851e-04,9.992857142857143327e-01,-4.034221196930198872e-05,24
2,1.350000000000000000e+01,8.571428571428570987e-04,9.991428571428571104e-01,-4.876064269346280788e-05,24
2,1.350000000000000000e+01,1.000000000000000021e-03,9.989999999999999991e-01,-5.729560080747209128e-05,24
2,1.350000000000000000e+01,1.142857142857142943e-03,9.988571428571428878e-01,-6.594702775070127032e-05,24
2,1.350000000000000000e+01,1.285714285714285648e-03,9.987142857142856656e-01,-7.471486469418087140e-05,24
2,1.350000000000000000e+01,1.428571428571428570e-03,9.985714285714285543e-01,-8.359905254107236061e-05,24
2,1.350000000000000000e+01,1.571428571428571492e-03,9.984285714285714430e-01,-9.259953192725101090e-05,24
2,1.350000000000000000e+01,1.714285714285714197e-03,9.982857142857143318e-01,-1.017162432212781464e-04,24
2,1.350000000000000000e+01,1.857142857142857120e-03,9.981428571428571095e-01,-1.109491265253725878e-04,24
2,1.350000000000000000e+01,2.000000000000000042e-03,9.979999999999999982e-01,-1.202981216753273852e-04,24
2,1.350000000000000000e+01,2.142857142857142964e-03,9.978571428571428870e-01,-1.297631682410094189e-04,24
2,1.350000000000000000e+01,2.285714285714285886e-03,9.977142857142856647e-01,-1.393442055269977775e-04,24
2,1.350000000000000000e+01,2.428571428571428808e-03,9.975714285714285534e-01,-1.490411725726115133e-04,24
2,1.350000000000000000e+01,2.571428571428571296e-03,9.974285714285714421e-01,-1.588540081526590431e-04,24
2,1.350000000000000000e+01,2.714285714285714218e-03,9.972857142857143309e-01,-1.687826507774103924e-04,24
2,1.350000000000000000e+01,2.857142857142857140e-03,9.971428571428571086e-01,-1.788270386933465961e-04,24
2,1.350000000000000000e+01,3.000000000000000062e-03,9.969999999999999973e-01,-1.889871098836315433e-04,24
2,1.350000000000000000e+01,3.142857142857142985e-03,9.968571428571428861e-01,-1.992628020681674883e-04,24
2,1.350000000000000000e+01,3.285714285714285907e-03,9.967142857142856638e-01,-2.096540527040946511e-04,24
2,1.350000000000000000e+01,3.428571428571428395e-03,9.965714285714285525e-01,-2.201607989864573511e-04,24
2,1.350000000000000000e+01,3.571428571428571317e-03,9.964285714285714413e-01,-2.307829778480652294e-04,24
2,1.350000000000000000e+01,3.714285714285714239e-03,9.962857142857143300e-01,-2.415205259605479604e-04,24
2,1.350000000000000000e+01,3.857142857142857595e-03,9.961428571428571077e-01,-2.523733797342442298e-04,24
2,1.350000000000000000e+01,4.000000000000000083e-03,9.959999999999999964e-01,-2.633414753189233792e-04,24
2,1.350000000000000000e+01,4.142857142857142572e-03,9.958571428571428852e-01,-2.744247486039241846e-04,24
2,1.350000000000000000e+01,4.285714285714285927e-03,9.957142857142856629e-01,-2.856231352186822114e-04,24
2,1.350000000000000000e+01,4.428571428571428416e-03,9.955714285714285516e-01,-2.969365705333959493e-04,24
2,1.350000000000000000e+01,4.571428571428571772e-03,9.954285714285714404e-01,-3.083649896588047667e-04,24
2,1.350000000000000000e+01,4.714285714285714260e-03,9.952857142857143291e-01,-3.199083274472158678e-04,24
2,1.350000000000000000e+01,4.857142857142857616e-03,9.951428571428571068e-01,-3.315665184925598030e-04,24
2,1.350000000000000000e+01,5.000000000000000104e-03,9.949999999999999956e-01,-3.433394971308068033e-04,24
2,1.350000000000000000e+01,5.142857142857142592e-03,9.948571428571428843e-01,-3.552271974408272026e-04,24
2,1.350000000000000000e+01,5.285714285714285948e-03,9.947142857142856620e-01,-3.672295532438640819e-04,24
2,1.350000000000000000e+01,5.428571428571428437e-03,9.945714285714285507e-01,-3.793464981050320706e-04,24
2,1.350000000000000000e+01,5.571428571428571792e-03,9.944285714285714395e-01,-3.915779653327067233e-04,24
2,1.350000000000000000e+01,5.714285714285714281e-03,9.942857142857143282e-01,-4.039238879799400550e-04,24
2,1.350000000000000000e+01,5.857142857142857637e-03,9.941428571428571059e-01,-4.163841988439054287e-04,24
2,1.350000000000000000e+01,6.000000000000000125e-03,9.939999999999999947e-01,-4.289588304672575791e-04,24
2,1.350000000000000000e+01,6.142857142857142613e-03,9.938571428571428834e-01,-4.416477151374942345e-04,24
2,1.350000000000000000e+01,6.285714285714285969e-03,9.937142857142856611e-01,-4.544507848881773615e-04,24
2,1.350000000000000000e+01,6.428571428571428457e-03,9.935714285714285499e-01,-4.673679714991552103e-04,24
2,1.350000000000000000e+01,6.571428571428571813e-03,9.934285714285714386e-01,-4.803992064969231368e-04,24
2,1.350000000000000000e+01,6.714285714285714302e-03,9.932857142857143273e-01,-4.935444211547068694e-04,24
2,1.350000000000000000e+01,6.857142857142856790e-03,9.931428571428571050e-01,-5.068035464934894652e-04,24
2,1.350000000000000000e+01,7.000000000000000146e-03,9.929999999999999938e-01,-5.201765132821500881e-04,24
2,1.350000000000000000e+01,7.142857142857142634e-03,9.928571428571428825e-01,-5.336632520375472755e-04,24
2,1.350000000000000000e+01,7.285714285714285990e-03,9.927142857142856602e-01,-5.472636930256014054e-04,24
2,1.350000000000000000e+01,7.428571428571428478e-03,9.925714285714285490e-01,-5.609777662611281634e-04,24
2,1.350000000000000000e+01,7.571428571428571834e-03,9.924285714285714377e-01,-5.748054015084491652e-04,24
2,1.350000000000000000e+01,7.714285714285715190e-03,9.922857142857143264e-01,-5.887465282818915568e-04,24
2,1.350000000000000000e+01,7.857142857142857678e-03,9.921428571428571042e-01,-6.028010758463431262e-04,24
2,1.350000000000000000e+01,8.000000000000000167e-03,9.919999999999999929e-01,-6.169689732173355701e-04,24
2,1.350000000000000000e+01,8.142857142857144390e-03,9.918571428571428816e-01,-6.312501491613220495e-04,24
2,1.350000000000000000e+01,8.285714285714285143e-03,9.917142857142857704e-01,-6.456445321967319018e-04,24
2,1.350000000000000000e+01,8.428571428571427632e-03,9.915714285714285481e-01,-6.601520505939983963e-04,24
2,1.350000000000000000e+01,8.571428571428571855e-03,9.914285714285714368e-01,-6.747726323760028233e-04,24
2,1.350000000000000000e+01,8.714285714285714343e-03,9.912857142857143256e-01,-6.895062053183798056e-04,24
2,1.350000000000000000e+01,8.857142857142856832e-03,9.911428571428571033e-01,-7.043526969501001656e-04,24
2,1.350000000000000000e+01,8.999999999999999320e-03,9.909999999999999920e-01,-7.193120345540815475e-04,24
2,1.350000000000000000e+01,9.142857142857143543e-03,9.908571428571428807e-01,-7.343841451671884180e-04,24
2,1.350000000000000000e+01,9.285714285714286031e-03,9.907142857142856585e-01,-7.495689555808704441e-04,24
2,1.350000000000000000e+01,9.428571428571428520e-03,9.905714285714285472e-01,-7.648663923416343380e-04,24
2,1.350000000000000000e+01,9.571428571428572743e-03,9.904285714285714359e-01,-7.802763817513214128e-04,24
2,1.350000000000000000e+01,9.714285714285715231e-03,9.902857142857143247e-01,-7.957988498678014722e-04,24
2,1.350000000000000000e+01,9.857142857142857720e-03,9.901428571428571024e-01,-8.114337225050838320e-04,24
2,1.350000000000000000e+01,1.000000000000000021e-02,9.899999999999999911e-01,-8.271809252340112106e-04,24
2,1.350000000000000000e+01,1.014285714285714270e-02,9.898571428571428799e-01,-8.430403833822042170e-04,24
2,1.350000000000000000e+01,1.028571428571428518e-02,9.897142857142857686e-01,-8.590120220352825964e-04,24
2,1.350000000000000000e+01,1.042857142857142767e-02,9.895714285714285463e-01,-8.750957660366431856e-04,24
2,1.350000000000000000e+01,1.057142857142857190e-02,9.894285714285714350e-01,-8.912915399878762468e-04,24
2,1.350000000000000000e+01,1.071428571428571438e-02,9.892857142857143238e-01,-9.075992682499589570e-04,24
2,1.350000000000000000e+01,1.085714285714285687e-02,9.891428571428571015e-01,-9.240188749426447856e-04,24
2,1.350000000000000000e+01,1.100000000000000110e-02,9.889999999999999902e-01,-9.405502839455459618e-04,24
2,1.350000000000000000e+01,1.114285714285714358e-02,9.888571428571428790e-01,-9.571934188983832748e-04,24
2,1.350000000000000000e+01,1.128571428571428607e-02,9.887142857142857677e-01,-9.739482032015966961e-04,24
2,1.350000000000000000e+01,1.142857142857142856e-02,9.885714285714285454e-01,-9.908145600163176248e-04,24
2,1.350000000000000000e+01,1.157142857142857278e-02,9.884285714285714342e-01,-1.007792412265368087e-03,24
2,1.350000000000000000e+01,1.171428571428571527e-02,9.882857142857143229e-01,-1.024881682633371760e-03,24
2,1.350000000000000000e+01,1.185714285714285776e-02,9.881428571428571006e-01,-1.042082293567142548e-03,24
2,1.350000000000000000e+01,1.200000000000000025e-02,9.879999999999999893e-01,-1.059394167276128673e-03,24
2,1.350000000000000000e+01,1.214285714285714274e-02,9.878571428571428781e-01,-1.076817225733273098e-03,24
2,1.350000000000000000e+01,1.228571428571428523e-02,9.877142857142857668e-01,-1.094351390674763724e-03,24
2,1.350000000000000000e+01,1.242857142857142771e-02,9.875714285714285445e-01,-1.111996583601115862e-03,24
2,1.350000000000000000e+01,1.257142857142857194e-02,9.874285714285714333e-01,-1.129752725776977940e-03,24
2,1.350000000000000000e+01,1.271428571428571443e-02,9.872857142857143220e-01,-1.147619738232158459e-03,24
2,1.350000000000000000e+01,1.285714285714285691e-02,9.871428571428570997e-01,-1.165597541761625999e-03,24
2,1.350000000000000000e+01,1.300000000000000114e-02,9.869999999999999885e-01,-1.183686056926314123e-03,24
2,1.350000000000000000e+01,1.314285714285714363e-02,9.868571428571428772e-01,-1.201885204053121381e-03,24
2,1.350000000000000000e+01,1.328571428571428611e-02,9.867142857142857659e-01,-1.220194903235743977e-03,24
2,1.350000000000000000e+01,1.342857142857142860e-02,9.865714285714285436e-01,-1.238615074334897814e-03,24
2,1.350000000000000000e+01,1.357142857142857283e-02,9.864285714285714324e-01,-1.257145636978956871e-03,24
2,1.350000000000000000e+01,1.371428571428571358e-02,9.862857142857143211e-01,-1.275786510564036469e-03,24
2,1.350000000000000000e+01,1.385714285714285607e-02,9.861428571428570988e-01,-1.294537614254825941e-03,24
2,1.350000000000000000e+01,1.400000000000000029e-02,9.859999999999999876e-01,-1.313398866984755164e-03,24
2,1.350000000000000000e+01,1.414285714285714278e-02,9.858571428571428763e-01,-1.332370187456521915e-03,24
2,1.350000000000000000e+01,1.428571428571428527e-02,9.857142857142857650e-01,-1.351451494142730247e-03,24
2,1.350000000000000000e+01,1.442857142857142949e-02,9.855714285714285428e-01,-1.370642705285918250e-03,24
2,1.350000000000000000e+01,1.457142857142857198e-02,9.854285714285714315e-01,-1.389943738899362957e-03,24
2,1.350000000000000000e+01,1.471428571428571447e-02,9.852857142857143202e-01,-1.409354512767274636e-03,24
2,1.350000000000000000e+01,1.485714285714285696e-02,9.851428571428570979e-01,-1.428874944445601702e-03,24
2,1.350000000000000000e+01,1.500000000000000118e-02,9.849999999999999867e-01,-1.448504951261891938e-03,24
2,1.350000000000000000e+01,1.514285714285714367e-02,9.848571428571428754e-01,-1.468244450316263938e-03,24
2,1.350000000000000000e+01,1.528571428571428616e-02,9.847142857142857642e-01,-1.488093358481767936e-03,24
2,1.350000000000000000e+01,1.542857142857143038e-02,9.845714285714285419e-01,-1.508051592404469066e-03,24
2,1.350000000000000000e+01,1.557142857142857287e-02,9.844285714285714306e-01,-1.528119068504224520e-03,24
2,1.350000000000000000e+01,1.571428571428571536e-02,9.842857142857143193e-01,-1.548295702975210908e-03,24
2,1.350000000000000000e+01,1.585714285714285784e-02,9.841428571428570971e-01,-1.568581411786007518e-03,24
2,1.350000000000000000e+01,1.600000000000000033e-02,9.839999999999999858e-01,-1.588976110680373477e-03,24
2,1.350000000000000000e+01,1.614285714285714282e-02,9.838571428571428745e-01,-1.609479715177525305e-03,24
2,1.350000000000000000e+01,1.628571428571428878e-02,9.837142857142857633e-01,-1.630092140572497739e-03,24
2,1.350000000000000000e+01,1.642857142857143127e-02,9.835714285714285410e-01,-1.650813301937142930e-03,24
2,1.350000000000000000e+01,1.657142857142857029e-02,9.834285714285714297e-01,-1.671643114119492068e-03,24
2,1.350000000000000000e+01,1.671428571428571278e-02,9.832857142857143185e-01,-1.692581491745448474e-03,24
2,1.350000000000000000e+01,1.685714285714285526e-02,9.831428571428570962e-01,-1.713628349218399016e-03,24
2,1.350000000000000000e+01,1.699999999999999775e-02,9.829999999999999849e-01,-1.734783600719963514e-03,24
2,1.350000000000000000e+01,1.714285714285714371e-02,9.828571428571428736e-01,-1.756047160210355562e-03,24
2,1.350000000000000000e+01,1.728571428571428620e-02,9.827142857142857624e-01,-1.777418941428965393e-03,24
2,1.350000000000000000e+01,1.742857142857142869e-02,9.825714285714285401e-01,-1.798898857894665193e-03,24
2,1.350000000000000000e+01,1.757142857142857117e-02,9.824285714285714288e-01,-1.820486822906280944e-03,24
2,1.350000000000000000e+01,1.771428571428571366e-02,9.822857142857143176e-01,-1.842182749543314069e-03,24
2,1.350000000000000000e+01,1.785714285714285615e-02,9.821428571428570953e-01,-1.863986550665774899e-03,24
2,1.350000000000000000e+01,1.799999999999999864e-02,9.819999999999999840e-01,-1.885898138915376165e-03,24
2,1.350000000000000000e+01,1.814285714285714460e-02,9.818571428571428727e-01,-1.907917426715394216e-03,24
2,1.350000000000000000e+01,1.828571428571428709e-02,9.817142857142857615e-01,-1.930044326271390664e-03,24
2,1.350000000000000000e+01,1.842857142857142957e-02,9.815714285714285392e-01,-1.952278749571906280e-03,24
2,1.350000000000000000e+01,1.857142857142857206e-02,9.814285714285714279e-01,-1.974620608388294452e-03,24
2,1.350000000000000000e+01,1.871428571428571455e-02,9.812857142857143167e-01,-1.997069814275720390e-03,24
2,1.350000000000000000e+01,1.885714285714285704e-02,9.811428571428570944e-01,-2.019626278573355416e-03,24
2,1.350000000000000000e+01,1.899999999999999953e-02,9.809999999999999831e-01,-2.042289912404793295e-03,24
2,1.350000000000000000e+01,1.914285714285714549e-02,9.808571428571428719e-01,-2.065060626678938416e-03,24
2,1.350000000000000000e+01,1.928571428571428797e-02,9.807142857142857606e-01,-2.087938332089755988e-03,24
2,1.350000000000000000e+01,1.942857142857143046e-02,9.805714285714285383e-01,-2.110922939117410024e-03,24
2,1.350000000000000000e+01,1.957142857142857295e-02,9.804285714285714270e-01,-2.134014358027985780e-03,24
2,1.350000000000000000e+01,1.971428571428571544e-02,9.802857142857143158e-01,-2.157212498875071827e-03,24
2,1.350000000000000000e+01,1.985714285714285793e-02,9.801428571428570935e-01,-2.180517271498899623e-03,24
2,1.350000000000000000e+01,2.000000000000000042e-02,9.799999999999999822e-01,-2.203928585527592521e-03,24
2,1.350000000000000000e+01,2.014285714285714290e-02,9.798571428571428710e-01,-2.227446350377693118e-03,24
2,1.350000000000000000e+01,2.028571428571428539e-02,9.797142857142857597e-01,-2.251070475254024483e-03,24
2,1.350000000000000000e+01,2.042857142857142788e-02,9.795714285714285374e-01,-2.274800869150744864e-03,24
2,1.350000000000000000e+01,2.057142857142857037e-02,9.794285714285714262e-01,-2.298637440851569735e-03,24
2,1.350000000000000000e+01,2.071428571428571286e-02,9.792857142857143149e-01,-2.322580098930021597e-03,24
2,1.350000000000000000e+01,2.085714285714285535e-02,9.791428571428570926e-01,-2.346628751750540198e-03,24
2,1.350000000000000000e+01,2.100000000000000130e-02,9.789999999999999813e-01,-2.370783307467927425e-03,24
2,1.350000000000000000e+01,2.114285714285714379e-02,9.788571428571428701e-01,-2.395043674028929370e-03,24
2,1.350000000000000000e+01,2.128571428571428628e-02,9.787142857142857588e-01,-2.419409759171764485e-03,24
2,1.350000000000000000e+01,2.142857142857142877e-02,9.785714285714285365e-01,-2.443881470427039515e-03,24
2,1.350000000000000000e+01,2.157142857142857126e-02,9.784285714285714253e-01,-2.468458715118415636e-03,24
2,1.350000000000000000e+01,2.171428571428571375e-02,9.782857142857143140e-01,-2.493141400362469673e-03,24
2,1.350000000000000000e+01,2.185714285714285623e-02,9.781428571428570917e-01,-2.517929433069665546e-03,24
2,1.350000000000000000e+01,2.200000000000000219e-02,9.779999999999999805e-01,-2.542822719944604071e-03,24
2,1.350000000000000000e+01,2.214285714285714468e-02,9.778571428571428692e-01,-2.567821167486633582e-03,24
2,1.350000000000000000e+01,2.228571428571428717e-02,9.777142857142857579e-01,-2.592924681989822178e-03,24
2,1.350000000000000000e+01,2.242857142857142966e-02,9.775714285714285356e-01,-2.618133169544262229e-03,24
2,1.350000000000000000e+01,2.257142857142857215e-02,9.774285714285714244e-01,-2.643446536035876093e-03,24
2,1.350000000000000000e+01,2.271428571428571463e-02,9.772857142857143131e-01,-2.668864687147026737e-03,24
2,1.350000000000000000e+01,2.285714285714285712e-02,9.771428571428570908e-01,-2.694387528357017336e-03,24
2,1.350000000000000000e+01,2.300000000000000308e-02,9.769999999999999796e-01,-2.720014964942757407e-03,24
2,1.350000000000000000e+01,2.314285714285714557e-02,9.768571428571428683e-01,-2.745746901978929344e-03,24
2,1.350000000000000000e+01,2.328571428571428806e-02,9.767142857142857570e-01,-2.771583244338488017e-03,24
2,1.350000000000000000e+01,2.342857142857143055e-02,9.765714285714285348e-01,-2.797523896693271395e-03,24
2,1.350000000000000000e+01,2.357142857142857303e-02,9.764285714285714235e-01,-2.823568763514500146e-03,24
2,1.350000000000000000e+01,2.371428571428571552e-02,9.762857142857143122e-01,-2.849717749073027440e-03,24
2,1.350000000000000000e+01,2.385714285714285454e-02,9.761428571428572010e-01,-2.875970757439949566e-03,24
2,1.350000000000000000e+01,2.400000000000000050e-02,9.759999999999999787e-01,-2.902327692487105537e-03,24
2,1.350000000000000000e+01,2.414285714285714299e-02,9.758571428571428674e-01,-2.928788457887465668e-03,24
2,1.350000000000000000e+01,2.428571428571428548e-02,9.757142857142857562e-01,-2.955352957115409129e-03,24
2,1.350000000000000000e+01,2.442857142857142796e-02,9.755714285714285339e-01,-2.982021093447889681e-03,24
2,1.350000000000000000e+01,2.457142857142857045e-02,9.754285714285714226e-01,-3.008792769963991587e-03,24
2,1.350000000000000000e+01,2.471428571428571294e-02,9.752857142857143113e-01,-3.035667889545901055e-03,24
2,1.350000000000000000e+01,2.485714285714285543e-02,9.751428571428570891e-01,-3.062646354879516863e-03,24
2,1.350000000000000000e+01,2.500000000000000139e-02,9.749999999999999778e-01,-3.089728068454394849e-03,24
2,1.350000000000000000e+01,2.514285714285714388e-02,9.748571428571428665e-01,-3.116912932564719352e-03,24
2,1.350000000000000000e+01,2.528571428571428636e-02,9.747142857142857553e-01,-3.144200849309636281e-03,24
2,1.350000000000000000e+01,2.542857142857142885e-02,9.745714285714285330e-01,-3.171591720593641694e-03,24
2,1.350000000000000000e+01,2.557142857142857134e-02,9.744285714285714217e-01,-3.199085448126776088e-03,24
2,1.350000000000000000e+01,2.571428571428571383e-02,9.742857142857143105e-01,-3.226681933425901150e-03,24
2,1.350000000000000000e+01,2.585714285714285632e-02,9.741428571428571992e-01,-3.254381077814200163e-03,24
2,1.350000000000000000e+01,2.600000000000000228e-02,9.739999999999999769e-01,-3.282182782422454759e-03,24
2,1.350000000000000000e+01,2.614285714285714476e-02,9.738571428571428656e-01,-3.310086948189044920e-03,24
2,1.350000000000000000e+01,2.628571428571428725e-02,9.737142857142857544e-01,-3.338093475860504089e-03,24
2,1.350000000000000000e+01,2.642857142857142974e-02,9.735714285714285321e-01,-3.366202265992074283e-03,24
2,1.350000000000000000e+01,2.657142857142857223e-02,9.734285714285714208e-01,-3.394413218948261202e-03,24
2,1.350000000000000000e+01,2.671428571428571472e-02,9.732857142857143096e-01,-3.422726234903028519e-03,24
2,1.350000000000000000e+01,2.685714285714285721e-02,9.731428571428570873e-01,-3.451141213840575039e-03,24
2,1.350000000000000000e+01,2.700000000000000316e-02,9.729999999999999760e-01,-3.479658055555556739e-03,24
2,1.350000000000000000e+01,2.714285714285714565e-02,9.728571428571428648e-01,-3.508276659653669638e-03,24
2,1.350000000000000000e+01,2.728571428571428814e-02,9.727142857142857535e-01,-3.536996925552315929e-03,24
2,1.350000000000000000e+01,2.742857142857142716e-02,9.725714285714285312e-01,-3.565818752480603981e-03,24
2,1.350000000000000000e+01,2.757142857142856965e-02,9.724285714285714199e-01,-3.594742039480264273e-03,24
2,1.350000000000000000e+01,2.771428571428571214e-02,9.722857142857143087e-01,-3.623766685406037968e-03,24
2,1.350000000000000000e+01,2.785714285714285809e-02,9.721428571428571974e-01,-3.652892588925954476e-03,24
