panel,step,edge_type,x0,y0,x1,y1,length,zero_length,gamma
path,1,spine,-0.60000000000000009,-0.40000000000000002,-0.80000000000000004,-0.20000000000000001,0.28284271247461901,0,0
path,1,leaf,-0.80000000000000004,-0.20000000000000001,-0.80000000000000004,-0.20000000000000001,0,1,0
path,2,spine,-0.80000000000000004,-0.20000000000000001,-0.66666666666666674,0.33333333333333337,0.54974741674902139,0,0
path,2,leaf,-0.66666666666666674,0.33333333333333337,-0.66666666666666674,0.33333333333333337,0,1,0
path,3,spine,-0.66666666666666674,0.33333333333333337,-0.20000000000000001,0.80000000000000004,0.65996632910744435,0,0
path,3,leaf,-0.20000000000000001,0.80000000000000004,-0.20000000000000001,0.80000000000000004,0,1,0
path,4,spine,-0.20000000000000001,0.80000000000000004,0.40000000000000002,0.60000000000000009,0.63245553203367588,0,0
path,4,leaf,0.40000000000000002,0.60000000000000009,0.40000000000000002,0.60000000000000009,0,1,0
path,5,spine,0.40000000000000002,0.60000000000000009,0.80000000000000004,0.20000000000000001,0.56568542494923812,0,0
path,5,leaf,0.80000000000000004,0.20000000000000001,0.80000000000000004,0.20000000000000001,0,1,0
path,6,spine,0.80000000000000004,0.20000000000000001,0.60000000000000009,-0.40000000000000002,0.63245553203367588,0,0
path,6,leaf,0.60000000000000009,-0.40000000000000002,0.60000000000000009,-0.40000000000000002,0,1,0
caterpillar,1,spine,-0.60000000000000009,-0.40000000000000002,-0.67999999999999994,-0.31999999999999995,0.11313708498984758,0,0.60000000000000009
caterpillar,1,leaf,-0.67999999999999994,-0.31999999999999995,-0.80000000000000004,-0.20000000000000001,0.16970562748477139,0,0.60000000000000009
caterpillar,2,spine,-0.67999999999999994,-0.31999999999999995,-0.67466666666666675,-0.058666666666666673,0.26138774943664739,0,0.60000000000000009
caterpillar,2,leaf,-0.67466666666666675,-0.058666666666666673,-0.66666666666666674,0.33333333333333337,0.39208162415497111,0,0.60000000000000009
caterpillar,3,spine,-0.67466666666666675,-0.058666666666666673,-0.48480000000000001,0.28480000000000005,0.39245216552112722,0,0.60000000000000009
caterpillar,3,leaf,-0.48480000000000001,0.28480000000000005,-0.20000000000000001,0.80000000000000004,0.5886782482816908,0,0.60000000000000009
caterpillar,4,spine,-0.48480000000000001,0.28480000000000005,-0.13088,0.41088000000000002,0.37570671114580845,0,0.60000000000000009
caterpillar,4,leaf,-0.13088,0.41088000000000002,0.40000000000000002,0.60000000000000009,0.56356006671871284,0,0.60000000000000009
caterpillar,5,spine,-0.13088,0.41088000000000002,0.24147200000000002,0.32652800000000004,0.38178694557043197,0,0.60000000000000009
caterpillar,5,leaf,0.24147200000000002,0.32652800000000004,0.80000000000000004,0.20000000000000001,0.57268041835564798,0,0.60000000000000009
caterpillar,6,spine,0.24147200000000002,0.32652800000000004,0.38488319999999998,0.035916799999999999,0.32407042730073349,0,0.60000000000000009
caterpillar,6,leaf,0.38488319999999998,0.035916799999999999,0.60000000000000009,-0.40000000000000002,0.48610564095110026,0,0.60000000000000009
star,1,spine,-0.60000000000000009,-0.40000000000000002,-0.60000000000000009,-0.40000000000000002,0,1,1
star,1,leaf,-0.60000000000000009,-0.40000000000000002,-0.80000000000000004,-0.20000000000000001,0.28284271247461901,0,1
star,2,spine,-0.60000000000000009,-0.40000000000000002,-0.60000000000000009,-0.40000000000000002,0,1,1
star,2,leaf,-0.60000000000000009,-0.40000000000000002,-0.66666666666666674,0.33333333333333337,0.73635740114581738,0,1
star,3,spine,-0.60000000000000009,-0.40000000000000002,-0.60000000000000009,-0.40000000000000002,0,1,1
star,3,leaf,-0.60000000000000009,-0.40000000000000002,-0.20000000000000001,0.80000000000000004,1.2649110640673518,0,1
star,4,spine,-0.60000000000000009,-0.40000000000000002,-0.60000000000000009,-0.40000000000000002,0,1,1
star,4,leaf,-0.60000000000000009,-0.40000000000000002,0.40000000000000002,0.60000000000000009,1.4142135623730951,0,1
star,5,spine,-0.60000000000000009,-0.40000000000000002,-0.60000000000000009,-0.40000000000000002,0,1,1
star,5,leaf,-0.60000000000000009,-0.40000000000000002,0.80000000000000004,0.20000000000000001,1.5231546211727818,0,1
star,6,spine,-0.60000000000000009,-0.40000000000000002,-0.60000000000000009,-0.40000000000000002,0,1,1
star,6,leaf,-0.60000000000000009,-0.40000000000000002,0.60000000000000009,-0.40000000000000002,1.2000000000000002,0,1
