d,alpha,policy,gamma,uniform_regret,adversarial_regret
1,1.5,uniform,0.63803390033735297,0,0.040923512656411809
1,1.5,adversarial,0.80000000000000004,0.040237962808373107,2.2204460492503131e-16
1,1.5,balanced,0.71824229303489551,0.0099851445657381799,0.0099851444749772256
1,2,uniform,0.58113883008418976,0,0.026334038989723974
1,2,adversarial,0.66666666666666663,0.027046276694730143,2.2204460492503131e-16
1,2,balanced,0.6227766018055888,0.0065835097854520797,0.0065835097099040674
1,3,uniform,0.54748062755150428,0,0.015542110761010752
1,3,adversarial,0.58578643762690508,0.015800382369945298,0
1,3,balanced,0.56627472740555185,0.0038871850386383855,0.0038871850748578574
2,1.5,uniform,0.64247440559377178,0,0.038607185482915529
2,1.5,adversarial,0.80000000000000004,0.037835164656187414,2.2204460492503131e-16
2,1.5,balanced,0.72057692588439604,0.0094126754730370354,0.0094126755662331529
2,2,uniform,0.58113883008418976,0,0.026334038989723974
2,2,adversarial,0.66666666666666663,0.02704627669472992,2.2204460492503131e-16
2,2,balanced,0.6227766018055888,0.0065835097854520797,0.0065835097099040674
2,3,uniform,0.54599629278250317,0,0.016818934486794168
2,3,adversarial,0.58578643762690508,0.017178887345628668,0
2,3,balanced,0.56548810377411907,0.0042133596725995037,0.0042133597273625867
3,1.5,uniform,0.64506289891125701,0,0.037291277168084225
3,1.5,adversarial,0.80000000000000004,0.036464854936050894,2.2204460492503131e-16
3,1.5,balanced,0.72193872160868477,0.009086876593304094,0.0090868766603195983
3,2,uniform,0.58113883008418976,0,0.026334038989723974
3,2,adversarial,0.66666666666666663,0.027046276694730143,2.2204460492503131e-16
3,2,balanced,0.6227766018055888,0.0065835097854520797,0.0065835097099040674
3,3,uniform,0.54508664828266573,0,0.017628227690986709
3,3,adversarial,0.58578643762690508,0.01805564957695438,0
3,3,balanced,0.56500614047599595,0.0044199542563987393,0.0044199542802885183
4,1.5,uniform,0.64674357131580917,0,0.03645033283492638
4,1.5,adversarial,0.80000000000000004,0.03558180869279659,2.2204460492503131e-16
4,1.5,balanced,0.72282827020878404,0.0088772823219656072,0.0088772824101936987
4,2,uniform,0.58113883008418976,0,0.026334038989723974
4,2,adversarial,0.66666666666666663,0.027046276694730143,2.2204460492503131e-16
4,2,balanced,0.6227766018055888,0.0065835097854520797,0.0065835097099040674
4,3,uniform,0.54447923507424356,0,0.018180043367894694
4,3,adversarial,0.58578643762690508,0.018660478472761532,0
4,3,balanced,0.56468138371685916,0.0045620620638151532,0.0045620620490676167
5,1.5,uniform,0.64792567479339536,0,0.035865174742923278
5,1.5,adversarial,0.80000000000000004,0.034965470557603684,2.2204460492503131e-16
5,1.5,balanced,0.72345478390576545,0.0087311903211806374,0.0087311902842668321
5,2,uniform,0.58113883008418976,0,0.026334038989723974
5,2,adversarial,0.66666666666666663,0.027046276694730365,2.2204460492503131e-16
5,2,balanced,0.6227766018055888,0.0065835097854520797,0.0065835097099040674
5,3,uniform,0.54403838718770592,0,0.018586283783600388
5,3,adversarial,0.58578643762690508,0.019102590323011315,0
5,3,balanced,0.56444776144663322,0.0046657379106764818,0.0046657378723971021
6,1.5,uniform,0.64879782214147785,0,0.035436786900701733
6,1.5,adversarial,0.80000000000000004,0.034511096368956107,2.2204460492503131e-16
6,1.5,balanced,0.7239194829474993,0.0086236444794267619,0.0086236443872609314
6,2,uniform,0.58113883008418976,0,0.026334038989723974
6,2,adversarial,0.66666666666666663,0.027046276694730143,2.2204460492503131e-16
6,2,balanced,0.6227766018055888,0.0065835097854520797,0.0065835097099040674
6,3,uniform,0.54370820716952872,0,0.018893716491868551
6,3,adversarial,0.58578643762690508,0.01943959176865917,0
6,3,balanced,0.56427175236026117,0.0047446471467367246,0.004744647175775718
7,1.5,uniform,0.64947545544091345,0,0.035105894386691316
7,1.5,adversarial,0.80000000000000004,0.034162223171794626,2.2204460492503131e-16
7,1.5,balanced,0.72427793681705643,0.0085411600894704787,0.0085411601209945953
7,2,uniform,0.58113883008418976,0,0.026334038989723974
7,2,adversarial,0.66666666666666663,0.02704627669472992,2.2204460492503131e-16
7,2,balanced,0.6227766018055888,0.0065835097854518576,0.0065835097099040674
7,3,uniform,0.54345119786795704,0,0.019134903754970622
7,3,adversarial,0.58578643762690508,0.01970482419664954,0
7,3,balanced,0.56413442960276416,0.0048066908276680476,0.0048066908226649385
8,1.5,uniform,0.65000969793273033,0,0.034846222354920187
8,1.5,adversarial,0.80000000000000004,0.033886008493024145,2.2204460492503131e-16
8,1.5,balanced,0.72456275702474682,0.0084759133655103458,0.0084759134171925599
8,2,uniform,0.58113883008418976,0,0.026334038989723974
8,2,adversarial,0.66666666666666663,0.02704627669472992,2.2204460492503131e-16
8,2,balanced,0.6227766018055888,0.0065835097854518576,0.0065835097099040674
8,3,uniform,0.54324713539431757,0,0.019327580208101436
8,3,adversarial,0.58578643762690508,0.01991901470106705,0
8,3,balanced,0.56402432767247523,0.0048567389796079219,0.004856738986716902
9,1.5,uniform,0.65044577160677153,0,0.034635050451199856
9,1.5,adversarial,0.80000000000000004,0.033661950680045738,2.2204460492503131e-16
9,1.5,balanced,0.72479451828253327,0.008423013309624805,0.0084230132506677435
9,2,uniform,0.58113883008418976,0,0.026334038989723974
9,2,adversarial,0.66666666666666663,0.02704627669472992,2.2204460492503131e-16
9,2,balanced,0.6227766018055888,0.0065835097854520797,0.0065835097099040674
9,3,uniform,0.54307579585993648,0,0.019490164799850218
9,3,adversarial,0.58578643762690508,0.020095525485038346,0
9,3,balanced,0.5639341039680601,0.0048979525239607469,0.0048979525077916808
10,1.5,uniform,0.65080094972611857,0,0.034463573393590519
10,1.5,adversarial,0.80000000000000004,0.033476590946104778,2.2204460492503131e-16
10,1.5,balanced,0.72498668865907478,0.0083792802705606739,0.008379280258718147
10,2,uniform,0.58113883008418976,0,0.026334038989723974
10,2,adversarial,0.66666666666666663,0.027046276694730143,2.2204460492503131e-16
10,2,balanced,0.6227766018055888,0.0065835097854520797,0.0065835097099040674
10,3,uniform,0.54293717926481389,0,0.01962223689965481
10,3,adversarial,0.58578643762690508,0.020243524272360203,0
10,3,balanced,0.56385879722168319,0.0049324909528496441,0.0049324909419958818
11,1.5,uniform,0.65110135743062947,0,0.03431890355751066
11,1.5,adversarial,0.80000000000000004,0.03332072873804881,2.2204460492503131e-16
11,1.5,balanced,0.72514856209404299,0.0083425338807379124,0.0083425337979585734
11,2,uniform,0.58113883008418976,0,0.026334038989723974
11,2,adversarial,0.66666666666666663,0.02704627669472992,2.2204460492503131e-16
11,2,balanced,0.6227766018055888,0.0065835097854518576,0.0065835097099040674
11,3,uniform,0.54281583593277261,0,0.019738246864697162
11,3,adversarial,0.58578643762690508,0.020369444529681147,0
11,3,balanced,0.56379494167866262,0.0049618765045962299,0.0049618764728531772
12,1.5,uniform,0.65136314094469749,0,0.034193106511798188
12,1.5,adversarial,0.80000000000000004,0.0331878543066908,2.2204460492503131e-16
12,1.5,balanced,0.72528688625314408,0.008311199720528073,0.008311199643507905
12,2,uniform,0.58113883008418976,0,0.026334038989723974
12,2,adversarial,0.66666666666666663,0.02704627669472992,2.2204460492503131e-16
12,2,balanced,0.6227766018055888,0.0065835097854523017,0.0065835097099040674
12,3,uniform,0.5427128929025008,0,0.019836955029449266
12,3,adversarial,0.58578643762690508,0.020477818159987837,0
12,3,balanced,0.56374021642149486,0.0049871326607753286,0.0049871327100714513
13,1.5,uniform,0.65158265309451413,0,0.034087817787931796
13,1.5,adversarial,0.80000000000000004,0.033073246429931702,2.2204460492503131e-16
13,1.5,balanced,0.72540624518473118,0.0082842107155836064,0.0082842108299254757
13,2,uniform,0.58113883008418976,0,0.026334038989723974
13,2,adversarial,0.66666666666666663,0.027046276694730143,2.2204460492503131e-16
13,2,balanced,0.6227766018055888,0.0065835097854520797,0.0065835097099040674
13,3,uniform,0.54262722313531031,0,0.019919303420096623
13,3,adversarial,0.58578643762690508,0.020572049999101782,0
13,3,balanced,0.56369275506321159,0.0050090906808244462,0.0050090906769211241
14,1.5,uniform,0.65178376494256152,0,0.033991511046442602
14,1.5,adversarial,0.80000000000000004,0.032973399711696771,2.2204460492503131e-16
14,1.5,balanced,0.72551047512625955,0.0082606802950542235,0.0082606801793954077
14,2,uniform,0.58113883008418976,0,0.026334038989723974
14,2,adversarial,0.66666666666666663,0.027046276694730143,2.2204460492503131e-16
14,2,balanced,0.6227766018055888,0.0065835097854520797,0.0065835097099040674
14,3,uniform,0.54254632758061605,0,0.019997231976397911
14,3,adversarial,0.58578643762690508,0.020654787442422107,0
14,3,balanced,0.56365117588042246,0.0050283685678980117,0.0050283685600351902
15,1.5,uniform,0.65194555605194993,0,0.03391414232854828
15,1.5,adversarial,0.80000000000000004,0.032885595734560402,2.2204460492503131e-16
15,1.5,balanced,0.72560214835984493,0.0082400129337534267,0.0082400130150943607
15,2,uniform,0.58113883008418976,0,0.026334038989723974
15,2,adversarial,0.66666666666666663,0.027046276694730143,2.2204460492503131e-16
15,2,balanced,0.6227766018055888,0.0065835097854520797,0.0065835097099040674
15,3,uniform,0.54248088170209907,0,0.020060397880255376
15,3,adversarial,0.58578643762690508,0.020727978064311481,0
15,3,balanced,0.56361449680925901,0.0050454065761731393,0.0050454065716933894
16,1.5,uniform,0.65209667169765728,0,0.033841965930385465
16,1.5,adversarial,0.80000000000000004,0.032807857325726442,2.2204460492503131e-16
16,1.5,balanced,0.72568343837577243,0.0082217092736762698,0.0082217091645597762
16,2,uniform,0.58113883008418976,0,0.026334038989723974
16,2,adversarial,0.66666666666666663,0.02704627669472992,2.2204460492503131e-16
16,2,balanced,0.6227766018055888,0.0065835097854520797,0.0065835097099040674
16,3,uniform,0.5424154358235822,0,0.020123671495641426
16,3,adversarial,0.58578643762690508,0.020793163316856322,0
16,3,balanced,0.56358188082175364,0.0050605823904998903,0.005060582440960637
17,1.5,uniform,0.65224006250527633,0,0.033773557036878676
17,1.5,adversarial,0.80000000000000004,0.032738467447999575,2.2204460492503131e-16
17,1.5,balanced,0.72575603689182144,0.008205380143801122,0.0082053802163404299
17,2,uniform,0.58113883008418976,0,0.026334038989723974
17,2,adversarial,0.66666666666666663,0.027046276694730143,2.2204460492503131e-16
17,2,balanced,0.6227766018055888,0.0065835097854520797,0.0065835097099040674
17,3,uniform,0.54236248899565009,0,0.020174939772171774
17,3,adversarial,0.58578643762690508,0.020851648071143147,0
17,3,balanced,0.5635526594579513,0.0050741990209819399,0.0050741989990148451
18,1.5,uniform,0.65235845521172531,0,0.033717131423469215
18,1.5,adversarial,0.80000000000000004,0.032676206325702228,2.2204460492503131e-16
18,1.5,balanced,0.72582119327414163,0.0081907395646436676,0.008190739509797762
18,2,uniform,0.58113883008418976,0,0.026334038989723974
18,2,adversarial,0.66666666666666663,0.02704627669472992,2.2204460492503131e-16
18,2,balanced,0.6227766018055888,0.0065835097854518576,0.0065835097099040674
18,3,uniform,0.54231726700580662,0,0.020218783964371045
18,3,adversarial,0.58578643762690508,0.02090438612340173,0
18,3,balanced,0.56352634747699826,0.0050864761677495984,0.0050864761578108819
19,1.5,uniform,0.65247207370567795,0,0.033663029809905431
19,1.5,adversarial,0.80000000000000004,0.032620010275366873,2.2204460492503131e-16
19,1.5,balanced,0.72588011860672164,0.0081775106047454749,0.0081775106129784447
19,2,uniform,0.58113883008418976,0,0.026334038989723974
19,2,adversarial,0.66666666666666663,0.027046276694730143,2.2204460492503131e-16
19,2,balanced,0.6227766018055888,0.0065835097854520797,0.0065835097099040674
19,3,uniform,0.54226909439037096,0,0.020265545506904514
19,3,adversarial,0.58578643762690508,0.020952125968382918,0
19,3,balanced,0.56350257805428727,0.0050975801846757651,0.0050975802524739766
20,1.5,uniform,0.65257024252345341,0,0.033616323195584386
20,1.5,adversarial,0.80000000000000004,0.032569027053846122,2.2204460492503131e-16
20,1.5,balanced,0.72593357656745872,0.008165518839670316,0.0081655187574998234
20,2,uniform,0.58113883008418976,0,0.026334038989723974
20,2,adversarial,0.66666666666666663,0.027046276694730143,2.2204460492503131e-16
20,2,balanced,0.6227766018055888,0.0065835097854520797,0.0065835097099040674
20,3,uniform,0.54222864661302383,0,0.020304853611210705
20,3,adversarial,0.58578643762690508,0.020995622181254836,0
20,3,balanced,0.56348096123067659,0.0051076896319275367,0.0051076896983677234
21,1.5,uniform,0.65265113807814767,0,0.03357786153626563
21,1.5,adversarial,0.80000000000000004,0.032522591804132084,2.2204460492503131e-16
21,1.5,balanced,0.72598224350795149,0.0081546094633089261,0.0081546095809612584
21,2,uniform,0.58113883008418976,0,0.026334038989723974
21,2,adversarial,0.66666666666666663,0.027046276694730143,2.2204460492503131e-16
21,2,balanced,0.6227766018055888,0.0065835097854520797,0.0065835097099040674
21,3,uniform,0.54219114946126901,0,0.020341331029484433
21,3,adversarial,0.58578643762690508,0.021035435917245104,0
21,3,balanced,0.56346116120447576,0.0051169586377082243,0.005116958649862946
22,1.5,uniform,0.6527415820578345,0,0.033534888660117224
22,1.5,adversarial,0.80000000000000004,0.03248010917591615,2.2204460492503131e-16
22,1.5,balanced,0.72602684623183644,0.008144617990948122,0.0081446180862332351
22,2,uniform,0.58113883008418976,0,0.026334038989723974
22,2,adversarial,0.66666666666666663,0.027046276694730143,2.2204460492503131e-16
22,2,balanced,0.6227766018055888,0.0065835097854520797,0.0065835097099040674
22,3,uniform,0.54216320073450697,0,0.020368542727944527
22,3,adversarial,0.58578643762690508,0.021071919830327079,0
22,3,balanced,0.56344304862545491,0.0051254453816147461,0.0051254453303644087
23,1.5,uniform,0.65281475277444012,0,0.033500144937752996
23,1.5,adversarial,0.80000000000000004,0.032441067677395852,2.2204460492503131e-16
23,1.5,balanced,0.7260678573599807,0.0081354368095583052,0.0081354367579875575
23,2,uniform,0.58113883008418976,0,0.026334038989723974
23,2,adversarial,0.66666666666666663,0.027046276694730143,2.2204460492503131e-16
23,2,balanced,0.6227766018055888,0.0065835097854518576,0.0065835097099040674
23,3,uniform,0.54213047779524837,0,0.020400427747709449
23,3,adversarial,0.58578643762690508,0.021105495595030277,0
23,3,balanced,0.56342643056295549,0.0051332381315709608,0.0051332382002962085
24,1.5,uniform,0.65288792349104563,0,0.033465420947319524
24,1.5,adversarial,0.80000000000000004,0.032405116197084194,2.2204460492503131e-16
24,1.5,balanced,0.72610561660110584,0.0081269881354875118,0.0081269881949042055
24,2,uniform,0.58113883008418976,0,0.026334038989723974
24,2,adversarial,0.66666666666666663,0.027046276694730143,2.2204460492503131e-16
24,2,balanced,0.6227766018055888,0.0065835097854520797,0.0065835097099040674
24,3,uniform,0.54209775485598988,0,0.020432339748342576
24,3,adversarial,0.58578643762690508,0.021136571435950158,0
24,3,balanced,0.56341101171532837,0.0051404742907952272,0.0051404742296994321
25,1.5,uniform,0.65294859515706638,0,0.033436643484245243
25,1.5,adversarial,0.80000000000000004,0.032371875619735313,2.2204460492503131e-16
25,1.5,balanced,0.72614050293319021,0.0081191865931982132,0.0081191864888949805
25,2,uniform,0.58113883008418976,0,0.026334038989723974
25,2,adversarial,0.66666666666666663,0.027046276694730143,2.2204460492503131e-16
25,2,balanced,0.6227766018055888,0.0065835097854523017,0.0065835097099040674
25,3,uniform,0.54206980612922773,0,0.020459617217906345
25,3,adversarial,0.58578643762690508,0.021165376387013213,0
25,3,balanced,0.56339675606980588,0.0051471691284139531,0.0051471690978268647
26,1.5,uniform,0.65301881524807981,0,0.033403353994899465
26,1.5,adversarial,0.80000000000000004,0.03234103717711645,2.2204460492503131e-16
26,1.5,balanced,0.72617295140741189,0.0081119335768931045,0.0081119334566623902
26,2,uniform,0.58113883008418976,0,0.026334038989723974
26,2,adversarial,0.66666666666666663,0.027046276694730143,2.2204460492503131e-16
26,2,balanced,0.6227766018055888,0.0065835097854518576,0.0065835097099040674
26,3,uniform,0.54204958224055422,0,0.020479367658311043
26,3,adversarial,0.58578643762690508,0.021192158390324733,0
26,3,balanced,0.56338351114505802,0.0051533934038181517,0.0051533933721630287
27,1.5,uniform,0.65307176207601181,0,0.033378265315003874
27,1.5,adversarial,0.80000000000000004,0.032312353817369965,2.2204460492503131e-16
27,1.5,balanced,0.72620313773545997,0.0081051890721259845,0.0081051890899530576
27,2,uniform,0.58113883008418976,0,0.026334038989723974
27,2,adversarial,0.66666666666666663,0.027046276694730143,2.2204460492503131e-16
27,2,balanced,0.6227766018055888,0.0065835097854520797,0.0065835097099040674
27,3,uniform,0.54202458413938426,0,0.020503794794058061
27,3,adversarial,0.58578643762690508,0.021217042594165569,0
27,3,balanced,0.56337122583456845,0.0051591702518345439,0.0051591701938025203
28,1.5,uniform,0.65311698406585528,0,0.033356845200331664
28,1.5,adversarial,0.80000000000000004,0.0322856415897399,2.2204460492503131e-16
28,1.5,balanced,0.72623122063879131,0.0080989173074510479,0.0080989172937415699
28,2,uniform,0.58113883008418976,0,0.026334038989723974
28,2,adversarial,0.66666666666666663,0.027046276694730143,2.2204460492503131e-16
28,2,balanced,0.6227766018055888,0.0065835097854523017,0.0065835097099040674
28,3,uniform,0.54200436025071075,0,0.020523568290950589
28,3,adversarial,0.58578643762690508,0.021240331309907878,0
28,3,balanced,0.56335971026643161,0.0051645881689326156,0.005164588128926173
29,1.5,uniform,0.6531603824687946,0,0.033336295939138783
29,1.5,adversarial,0.80000000000000004,0.032260683588671846,2.2204460492503131e-16
29,1.5,balanced,0.72625744958836225,0.0080930619228405387,0.0080930618190779846
29,2,uniform,0.58113883008418976,0,0.026334038989723974
29,2,adversarial,0.66666666666666663,0.027046276694730143,2.2204460492503131e-16
29,2,balanced,0.6227766018055888,0.0065835097854518576,0.0065835097099040674
29,3,uniform,0.54197936214954079,0,0.020548023929699788
29,3,adversarial,0.58578643762690508,0.021262128575876282,0
