alpha,gamma,alternation,best_block,envelope,active_m,is_envelope_minimum
256,4.500000000000000111e-01,1.933387152519578648e-31,3.619733221753651142e+09,3.619733221753651142e+09,10,0
256,4.501666666666666594e-01,1.737178691804867778e-31,3.348423154520377159e+09,3.348423154520377159e+09,10,0
256,4.503333333333333632e-01,1.560850874477413432e-31,3.097372407685857296e+09,3.097372407685857296e+09,10,0
256,4.505000000000000115e-01,1.402392488463022579e-31,2.865073861032267094e+09,2.865073861032267094e+09,10,0
256,4.506666666666666599e-01,1.259995464272105214e-31,2.650132088219591141e+09,2.650132088219591141e+09,10,0
256,4.508333333333333637e-01,1.132034388832465274e-31,2.451255110400606632e+09,2.451255110400606632e+09,10,0
256,4.510000000000000120e-01,1.017048082031401995e-31,2.267246756355290413e+09,2.267246756355290413e+09,10,0
256,4.511666666666666603e-01,9.137230286026213622e-32,2.096999584704708099e+09,2.096999584704708099e+09,10,0
256,4.513333333333333641e-01,8.208784788084141953e-32,1.939488327010917425e+09,1.939488327010917425e+09,10,0
256,4.515000000000000124e-01,7.374530500934067949e-32,1.793763813572815180e+09,1.793763813572815180e+09,10,0
256,4.516666666666666607e-01,6.624926787381604002e-32,1.658947346519978762e+09,1.658947346519978762e+09,10,0
256,4.518333333333333646e-01,5.951397857019198591e-32,1.534225487391144037e+09,1.534225487391144037e+09,10,0
256,4.520000000000000129e-01,5.346235344851050839e-32,1.418845228782463074e+09,1.418845228782463074e+09,10,0
256,4.521666666666666612e-01,4.802510711150944261e-32,1.312109521873793602e+09,1.312109521873793602e+09,10,0
256,4.523333333333333650e-01,4.313996474013659129e-32,1.213373133702627659e+09,1.213373133702627659e+09,10,0
256,4.525000000000000133e-01,3.875095385403630327e-32,1.122038809967079163e+09,1.122038809967079163e+09,10,0
256,4.526666666666666616e-01,3.480776750874872962e-32,1.037553720909920812e+09,1.037553720909920812e+09,10,0
256,4.528333333333333655e-01,3.126519173552844732e-32,9.594061694807721376e+08,9.594061694807721376e+08,10,0
256,4.530000000000000138e-01,2.808259075297606442e-32,8.871225424947249889e+08,8.871225424947249889e+08,10,0
256,4.531666666666666621e-01,2.522344413041132484e-32,8.202644869179273844e+08,8.202644869179273844e+08,10,0
256,4.533333333333333659e-01,2.265493066838425261e-32,7.584262947210366726e+08,7.584262947210366726e+08,10,0
256,4.535000000000000142e-01,2.034755428826201096e-32,7.012324809531710148e+08,7.012324809531710148e+08,10,0
256,4.536666666666666625e-01,1.827480769658350838e-32,6.483355408149715662e+08,6.483355408149715662e+08,10,0
