alpha,lower_bound,lower_numerical_upper,theorem_upper,normalized_lower,normalized_upper,relative_band_width,gamma_lower_envelope,active_m,active_m_normalized,base_m,truncation_m,branch_relative_width,branch_converged
4.000000000000000000e+00,3.771243898502691927e-01,3.771996687182842534e-01,2.111663271567202127e+00,3.771243898502691927e-01,2.111663271567202127e+00,8.214088415856279912e-01,5.810038248697917407e-01,3,1.213968589272967025e+00,12,48,1.995729961027180159e-04,1
6.123623648255466456e+00,3.317061024982109751e-01,3.317709121856694532e-01,1.846875388870451218e+00,4.336038320491951703e-01,2.414222228353167576e+00,8.203960567685715244e-01,5.277201334635417407e-01,4,1.152043472074459451e+00,16,64,1.953446944203731110e-04,1
9.374691646368397357e+00,2.955597634923419204e-01,2.956187896896355638e-01,1.537862259021020916e+00,4.771474317304197355e-01,2.482702714931744659e+00,8.078112901473434304e-01,5.098724365234375000e-01,5,1.138695349811295277e+00,20,80,1.996699782027181293e-04,1
1.435177086520112688e+01,2.655172680172269151e-01,2.655702775192755327e-01,1.240565370911278498e+00,5.102122546071841125e-01,2.383843655845294229e+00,7.859707563639418693e-01,5.035959879557291297e-01,6,1.141404331981642484e+00,24,96,1.996063058855301886e-04,1
2.197121086612235530e+01,2.403852166183347294e-01,2.404330480266628489e-01,9.920759457237694479e-01,5.357636568285135681e-01,2.211110333696088670e+00,7.576947433767667883e-01,5.013147989908853797e-01,7,1.150365101961442038e+00,28,112,1.989385765421699745e-04,1
3.363585661014857919e+01,2.195325848115373124e-01,2.195763339847131845e-01,8.015567964893711705e-01,5.567267423244394164e-01,2.032719217881176821e+00,7.261172436276031039e-01,5.008417765299478797e-01,7,1.016600207937543576e+00,28,112,1.992435723010018258e-04,1
5.149333174180896577e+01,2.043866914682445912e-01,2.044269361007634289e-01,6.607386569724785774e-01,5.811034233136700422e-01,1.878583643211618970e+00,6.906693905200739225e-01,5.003102620442707593e-01,8,1.043699565709269583e+00,32,128,1.968656053182778491e-04,1
7.883144599540133868e+01,1.904718101007052133e-01,1.905099107823392535e-01,5.569018981593351070e-01,6.000528034133900679e-01,1.754435709095568896e+00,6.579795997638898664e-01,5.001131693522135047e-01,9,1.067939343266574248e+00,36,144,1.999931734657667693e-04,1
1.000000000000000000e+02,1.827649579534128821e-01,1.828013773938155784e-01,5.108207928631511852e-01,6.071320485863498373e-01,1.696909943264739873e+00,6.422131586911037360e-01,5.000890096028645093e-01,9,1.017281273328482394e+00,36,144,1.992295732227256739e-04,1
1.206835267309032531e+02,1.777314339628332518e-01,1.777666694984398055e-01,4.791288331724216087e-01,6.145139822308696154e-01,1.656608292126791060e+00,6.290529359587216929e-01,5.000406901041666297e-01,10,1.089791691362135051e+00,40,160,1.982122728966519371e-04,1
1.847551245610575279e+02,1.669565155984435167e-01,1.669897793526760044e-01,4.195491238504798215e-01,6.285470854006665054e-01,1.579491390517979932e+00,6.020572893439196660e-01,5.000267028808593750e-01,10,1.008750647140359558e+00,40,160,1.991963481922797590e-04,1
2.560000000000000000e+02,1.604248413213252566e-01,1.604565556641281976e-01,3.828182874241022327e-01,6.416993652853010266e-01,1.531273149696408931e+00,5.809373622122711023e-01,5.000104904174804688e-01,11,1.050497046649660593e+00,44,176,1.976506517398156327e-04,1
2.828427124746191907e+02,1.583376967610448105e-01,1.583677144784558510e-01,3.728156156708910540e-01,6.447397159210541684e-01,1.518078379663030608e+00,5.752922085194522861e-01,5.000095367431640625e-01,11,1.033756675578028306e+00,44,176,1.895444251998983619e-04,1
3.000000000000000000e+02,1.570160811768006315e-01,1.570468396981383463e-01,3.671463599430406233e-01,6.460284317480378125e-01,1.510590414423410577e+00,5.723338202204695246e-01,5.000089009602863843e-01,11,1.024138225432287275e+00,44,176,1.958557166564839542e-04,1
4.330055807115749644e+02,1.499184036302795286e-01,1.499482388862899973e-01,3.353373591638369455e-01,6.565108152880508863e-01,1.468482839532634587e+00,5.529325930039504788e-01,5.000033378601074219e-01,12,1.056327174972707672e+00,48,192,1.989703662548086274e-04,1
6.628908034679975572e+02,1.418595799633264043e-01,1.418879259815719329e-01,3.046803058482557836e-01,6.647984950252416869e-01,1.427827495641213362e+00,5.343985901275196682e-01,5.000011920928955078e-01,13,1.076844038743625109e+00,52,208,1.997775219380551080e-04,1
1.000000000000000000e+03,1.361417677086395606e-01,1.361679403481355632e-01,2.799744513927400202e-01,6.783797445584383023e-01,1.395082493898328835e+00,5.137350317809397104e-01,5.000007947285969312e-01,13,1.019287965944109642e+00,52,208,1.922085288878428908e-04,1
1.014823450081924534e+03,1.358951490381060390e-01,1.359217818739255623e-01,2.791645380770253482e-01,6.785933132138883828e-01,1.394009941976612765e+00,5.132076947373211961e-01,5.000007947285969312e-01,13,1.017349731307614968e+00,52,208,1.959423681204141719e-04,1
1.553599219431469010e+03,1.299076700259208239e-01,1.299335917542720764e-01,2.576058955848710696e-01,6.886014998374971885e-01,1.365491398862971328e+00,4.957115801601624239e-01,5.000002781550089148e-01,14,1.038666974582543201e+00,56,224,1.994998214185842019e-04,1
2.378414230005442732e+03,1.239739764738397726e-01,1.239985438330529627e-01,2.391515665588247186e-01,6.952326885211796981e-01,1.341136190931392580e+00,4.816091809152102110e-01,5.000000794728596265e-01,15,1.058240139274342129e+00,60,240,1.981261912742029313e-04,1
3.000000000000000000e+03,1.216442763011120615e-01,1.216685831121380734e-01,2.301668212639858824e-01,7.025411167226706111e-01,1.329299335408432148e+00,4.714951719231754712e-01,5.000000794728596265e-01,15,1.030793609718682502e+00,60,240,1.997788615949372794e-04,1
3.641128406052159335e+03,1.192875240138811521e-01,1.193112266255679510e-01,2.231745924429111017e-01,7.055958382343490154e-01,1.320096673387575859e+00,4.654968439366800048e-01,5.000000596046447754e-01,15,1.009027267884668344e+00,60,240,1.986620400876802216e-04,1
5.574225003408931116e+03,1.147847691760081612e-01,1.148076860336973704e-01,2.092051147270639899e-01,7.142227165808068268e-01,1.301732332918206891e+00,4.513290493601926356e-01,5.000000198682148511e-01,16,1.028725094172556531e+00,64,256,1.996108316518354730e-04,1
8.533614012892971004e+03,1.102096090291299901e-01,1.102315383993402176e-01,1.968847340335164453e-01,7.196103987747755060e-01,1.285553076711089870e+00,4.402328368924297575e-01,5.000000099341074256e-01,17,1.046982361175067933e+00,68,272,1.989391650398912321e-04,1
1.000000000000000000e+04,1.089835275328883551e-01,1.090051855746281828e-01,1.926603047150093062e-01,7.240708839828644550e-01,1.280007358004699336e+00,4.343228736500698850e-01,5.000000099341074256e-01,17,1.030867392573856289e+00,68,272,1.986881782335017752e-04,1
1.306416014360889858e+04,1.064652707552289912e-01,1.064864615352929811e-01,1.859356252303924761e-01,7.278672178445068086e-01,1.271179280103203801e+00,4.274078965593168244e-01,5.000000049670536573e-01,17,1.004855652839594216e+00,68,272,1.989997578890964755e-04,1
2.000000000000001819e+04,1.029288746329138221e-01,1.029493275717524442e-01,1.761392392884963132e-01,7.353090781528881514e-01,1.258313394853335820e+00,4.156391554278949241e-01,5.000000000000000000e-01,18,1.022980167082742975e+00,72,288,1.986699604654244833e-04,1
3.061811824127734508e+04,9.927218901560755371e-02,9.929191125729512624e-02,1.673213479753811739e-01,7.396819446194358161e-01,1.246719562387377245e+00,4.066974106005052936e-01,5.000000000000000000e-01,19,1.039912090048551008e+00,76,304,1.986288856548070977e-04,1
4.687345823184206529e+04,9.624139945475866653e-02,9.626064256548270970e-02,1.593413615787423465e-01,7.466640489827297555e-01,1.236208813263700135e+00,3.960049135942730336e-01,5.000000000000000000e-01,19,1.002985360215277177e+00,76,304,1.999063190436606513e-04,1
