dataset,shard_index,shard_count,d,lambda_ratio,lambda_star,lambda,log2N,N,alpha,delta_128,delta_256,delta_512,objective_256,objective_512,beta_512,scale_type,theory_scale,collapse_ratio,location_rel_change,value_rel_change,derivative_scaled,neighbor_left,neighbor_right,first_order_ok,neighbor_ok,accepted
phase_regimes,1,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,1.200000000000000000e+01,4096,1.000000000000000000e+00,1.534038579423424586e-02,1.534134155734612204e-02,1.534194980123937402e-02,2.746539253922358967e+03,2.746539224610424753e+03,5.021978619868749938e-01,subcritical,1.545321953242327802e-02,9.927995761044847711e-01,3.964580129201339750e-05,1.067231589140722727e-08,2.213902092773696104e-07,3.222569454919721466e-03,3.199167535512970062e-03,1,1,1
phase_regimes,1,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,2.000000000000000000e+01,1048576,1.000000000000000000e+00,9.655969459029245527e-04,9.653421444199006274e-04,9.653804177001124032e-04,6.993039024064835394e+05,6.993039013161847834e+05,5.008307408439333086e-01,subcritical,9.658262207764548761e-04,9.995384230964613481e-01,3.964580129246527264e-05,1.559120082089691527e-09,3.191498337666960698e-09,5.072881910018622875e-02,5.064053391106426716e-02,1,1,1
phase_regimes,1,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,2.800000000000000000e+01,268435456,1.000000000000000000e+00,6.038521526441353870e-05,6.036928082875370194e-05,6.036688744026630360e-05,1.789610228134194911e+08,1.789610217329828739e+08,5.005672520626036626e-01,subcritical,6.036413879852842976e-05,1.000045534348581455e+00,3.964737273835137560e-05,6.037273405535519156e-09,1.376034778438800040e-09,8.053594529628753662e-01,8.151636123657226562e-01,1,1,1
phase_regimes,1,4,2,1.000000000000000056e-01,4.152787295564890901e-01,4.152787295564891457e-02,1.200000000000000000e+01,4096,1.004992671364315138e+00,1.622849959856198510e-02,1.622951069446820771e-02,1.622886726251215883e-02,2.740980536823481543e+03,2.740980508910903609e+03,4.954411569299774776e-01,subcritical,1.641759043374918514e-02,9.885048191451363264e-01,3.964737314323675646e-05,1.018342809939245577e-08,1.340451591382478485e-07,3.104052953403879656e-03,3.091536596002697479e-03,1,1,1
phase_regimes,1,4,2,1.000000000000000056e-01,4.152787295564890901e-01,4.152787295564891457e-02,2.000000000000000000e+01,1048576,1.002995602818589127e+00,1.022468914312457677e-03,1.022532617930060894e-03,1.022573158662276605e-03,6.985910300814370858e+05,6.985910289836623706e+05,4.966790111034273258e-01,subcritical,1.025077655629502184e-03,9.975567734273872444e-01,3.964580125371706606e-05,1.571412557014795005e-09,1.318592092396428528e-08,4.822922940365970135e-02,4.860982089303433895e-02,1,1,1
phase_regimes,1,4,2,1.000000000000000056e-01,4.152787295564890901e-01,4.152787295564891457e-02,2.800000000000000000e+01,268435456,1.002139716298992234e+00,6.396498067151590305e-05,6.394810160825770140e-05,6.394556633448900129e-05,1.788332317767235637e+08,1.788332307272637486e+08,4.975998621826961954e-01,subcritical,6.403996761208523856e-05,9.985259006036970586e-01,3.964737375908906241e-05,5.868371391365440541e-09,1.113171540656277682e-09,7.751522064208984375e-01,7.674098908901214600e-01,1,1,1
phase_regimes,1,4,2,2.000000000000000111e-01,4.152787295564890901e-01,8.305574591129782913e-02,1.200000000000000000e+01,4096,1.009985342728630275e+00,1.723332292875912053e-02,1.722877540377221184e-02,1.722809235516609139e-02,2.735406994721618048e+03,2.735406968076373687e+03,4.882577689301483836e-01,subcritical,1.755029677566375887e-02,9.816410842154843497e-01,3.964737314143948807e-05,9.740870251519481326e-09,1.594082072311349661e-07,2.993663410052249674e-03,2.979791227062378312e-03,1,1,1
phase_regimes,1,4,2,2.000000000000000111e-01,4.152787295564890901e-01,8.305574591129782913e-02,2.000000000000000000e+01,1048576,1.005991205637178254e+00,1.088478294616335162e-03,1.088191067233457154e-03,1.088147925026650142e-03,6.978790129510383122e+05,6.978790118370169075e+05,4.921954795932150240e-01,subcritical,1.094718400972529435e-03,9.939980218291368796e-01,3.964737313261463804e-05,1.596295899075563932e-09,1.123323203977808490e-08,4.626549116801470518e-02,4.597625427413731813e-02,1,1,1
phase_regimes,1,4,2,2.000000000000000111e-01,4.152787295564890901e-01,8.305574591129782913e-02,2.800000000000000000e+01,268435456,1.004279432597984467e+00,6.809448395150852207e-05,6.809872649127246547e-05,6.809602666268954607e-05,1.787056136063705981e+08,1.787056125896830261e+08,4.943596376287243133e-01,subcritical,6.836156232128764261e-05,9.961157169382682808e-01,3.964737320567715220e-05,5.689175383297983670e-09,1.695193579434404957e-10,7.318891882896423340e-01,7.308316826820373535e-01,1,1,1
phase_regimes,1,4,2,2.999999999999999889e-01,4.152787295564890901e-01,1.245836188669467159e-01,1.200000000000000000e+01,4096,1.014978014092945413e+00,1.836330419714404805e-02,1.836444829931971334e-02,1.836372022605159415e-02,2.729813897522642492e+03,2.729813871992514578e+03,4.805831526760955819e-01,subcritical,1.890890427039891575e-02,9.711678669186144530e-01,3.964737314426692471e-05,9.352332837007081397e-09,9.536073288408130478e-08,2.870999098377069458e-03,2.886535635298059788e-03,1,1,1
phase_regimes,1,4,2,2.999999999999999889e-01,4.152787295564890901e-01,1.245836188669467159e-01,2.000000000000000000e+01,1048576,1.008986808455767159e+00,1.164521306553645275e-03,1.164593860563889471e-03,1.164547689307071643e-03,6.971677476866573561e+05,6.971677465467088623e+05,4.873007282102355120e-01,subcritical,1.178306165382673326e-03,9.883235134638089781e-01,3.964737317481718050e-05,1.635113642946881633e-09,1.131611949727389585e-08,4.392953636124730110e-02,4.365197441074997187e-02,1,1,1
phase_regimes,1,4,2,2.999999999999999889e-01,4.152787295564890901e-01,1.245836188669467159e-01,2.800000000000000000e+01,268435456,1.006419148896976701e+00,7.300644096241981629e-05,7.298717604087290312e-05,7.297491919222576229e-05,1.785781661777399182e+08,1.785781651960108280e+08,4.907942773663185321e-01,subcritical,7.355019596745413629e-05,9.921784467374780148e-01,1.679597426460266202e-04,5.497475512396551076e-09,1.829620718514355741e-09,6.837701201438903809e-01,6.971755623817443848e-01,1,1,1
phase_regimes,1,4,2,4.000000000000000222e-01,4.152787295564890901e-01,1.661114918225956583e-01,1.200000000000000000e+01,4096,1.019970685457260551e+00,1.966348863100952915e-02,1.966226359883016528e-02,1.966304315593192520e-02,2.724195663527400029e+03,2.724195639018500970e+03,4.723641309789518017e-01,subcritical,2.058319889801184591e-02,9.552957853325315662e-01,3.964580129219439828e-05,8.996747042886207719e-09,1.915891282045603066e-07,2.761519839623360895e-03,2.789278444652154576e-03,1,1,1
phase_regimes,1,4,2,4.000000000000000222e-01,4.152787295564890901e-01,1.661114918225956583e-01,2.000000000000000000e+01,1048576,1.011982411274356286e+00,1.255110746483989459e-03,1.254779548170992243e-03,1.254829296883919199e-03,6.964571045064647915e+05,6.964571033284275327e+05,4.819146583465869771e-01,subcritical,1.281391033640377590e-03,9.792711701119075629e-01,3.964580126595333790e-05,1.691471381606209488e-09,1.010489563957323533e-08,4.154824989382177591e-02,4.132006783038377762e-02,1,1,1
phase_regimes,1,4,2,4.000000000000000222e-01,4.152787295564890901e-01,1.661114918225956583e-01,2.800000000000000000e+01,268435456,1.008558865195968712e+00,7.880661015680079373e-05,7.881152010180692002e-05,7.878817606543631058e-05,1.784508868487938941e+08,1.784508859050285518e+08,4.868450477603309956e-01,subcritical,7.995108808441073103e-05,9.854547067858958620e-01,2.962885744584493625e-04,5.288655965192778920e-09,1.645507563589447000e-09,6.539172530174255371e-01,6.430025100708007812e-01,1,1,1
phase_regimes,1,4,2,5.000000000000000000e-01,4.152787295564890901e-01,2.076393647782445451e-01,1.200000000000000000e+01,4096,1.024963356821575688e+00,2.116682304437111917e-02,2.116123754834775550e-02,2.116207653582902193e-02,2.718545669607616219e+03,2.718545645922974018e+03,4.635312492036647303e-01,subcritical,2.272290449916552699e-02,9.313103673258924520e-01,3.964580129204043479e-05,8.712247387414844002e-09,1.606876772756842986e-07,2.665525727934436873e-03,2.691896682335936930e-03,1,1,1
