lambda_ratio,log2N_left,log2N_right,beta_quotient
0.0,10.0,12.0,0.49489944197987756
0.0,12.0,14.0,0.4973616599677116
0.0,14.0,16.0,0.49872077492821215
0.0,16.0,18.0,0.4993726441643805
0.0,18.0,20.0,0.4996651574577803
0.0,20.0,22.0,0.4998218825761715
0.0,22.0,24.0,0.49994280206535985
0.0,24.0,26.0,0.49996198399826
0.0,26.0,28.0,0.4999074517973257
0.0,28.0,30.0,0.4999956867524121
0.0,30.0,32.0,0.49994711531303204
0.1,10.0,12.0,0.49402224996531924
0.1,12.0,14.0,0.4969285898903085
0.1,14.0,16.0,0.49846929123524314
0.1,16.0,18.0,0.49916836582600044
0.1,18.0,20.0,0.49957692250285723
0.1,20.0,22.0,0.4997957216615559
0.1,22.0,24.0,0.4999004728164438
0.1,24.0,26.0,0.4999117650448468
0.1,26.0,28.0,0.5000000000006262
0.1,28.0,30.0,0.49994280206357866
0.1,30.0,32.0,0.49991443077693126
0.2,10.0,12.0,0.49264349770978366
0.2,12.0,14.0,0.49612311663090347
0.2,14.0,16.0,0.49802005282348866
0.2,16.0,18.0,0.49889236873245457
0.2,18.0,20.0,0.49937264416441374
0.2,20.0,22.0,0.4995930908372799
0.2,22.0,24.0,0.49981490359508607
0.2,24.0,26.0,0.49976201890779925
0.2,26.0,28.0,0.49991011752982406
0.2,28.0,30.0,0.49990478606687244
0.2,30.0,32.0,0.5001540593813792
0.3,10.0,12.0,0.4906159973133368
0.3,12.0,14.0,0.4949748036283667
0.3,14.0,16.0,0.4971884186494706
0.3,16.0,18.0,0.4983073421458142
0.3,18.0,20.0,0.4990378016221306
0.3,20.0,22.0,0.4993154462297017
0.3,22.0,24.0,0.4995345932538812
0.3,24.0,26.0,0.499593090836637
0.3,26.0,28.0,0.4996694707058837
0.3,28.0,30.0,0.4997620189064417
0.3,30.0,32.0,0.5001427671555781
0.4,10.0,12.0,0.4878060634767917
0.4,12.0,14.0,0.4931499340563275
0.4,14.0,16.0,0.495935354492267
0.4,16.0,18.0,0.4975232611917511
0.4,18.0,20.0,0.49835324785181356
0.4,20.0,22.0,0.4988041337775433
0.4,22.0,24.0,0.4991260365769252
0.4,24.0,26.0,0.49922721127474334
0.4,26.0,28.0,0.49952670354955164
0.4,28.0,30.0,0.49936566518323344
0.4,30.0,32.0,0.49956994351963635
