alpha,dimension,gamma,scaled_difference
2,2,0.0,-2.0
2,2,0.001,-1.9980019980019983
2,2,0.002,-1.996007984031936
2,2,0.003,-1.9940179461615157
2,2,0.004,-1.9920318725099602
2,2,0.005,-1.9900497512437814
2,2,0.006,-1.9880715705765408
2,2,0.007,-1.98609731876862
2,2,0.008,-1.9841269841269842
2,2,0.009000000000000001,-1.9821605550049557
2,2,0.01,-1.9801980198019802
2,2,0.011,-1.9782393669634029
2,2,0.012,-1.976284584980237
2,2,0.013000000000000001,-1.974333662388944
2,2,0.014,-1.9723865877712032
2,2,0.015,-1.9704433497536948
2,2,0.016,-1.968503937007874
2,2,0.017,-1.9665683382497543
2,2,0.018000000000000002,-1.9646365422396856
2,2,0.019,-1.9627085377821396
2,2,0.02,-1.9607843137254901
2,2,0.021,-1.9588638589618024
2,2,0.022,-1.9569471624266144
2,2,0.023,-1.9550342130987295
2,2,0.024,-1.953125
2,2,0.025,-1.9512195121951221
2,2,0.026000000000000002,-1.949317738791423
2,2,0.027,-1.9474196689386565
2,2,0.028,-1.9455252918287937
2,2,0.029,-1.9436345966958213
2,2,0.03,-1.941747572815534
2,2,0.031,-1.939864209505335
2,2,0.032,-1.937984496124031
2,2,0.033,-1.9361084220716362
2,2,0.034,-1.9342359767891681
2,2,0.035,-1.9323671497584543
2,2,0.036000000000000004,-1.9305019305019304
2,2,0.037,-1.9286403085824495
2,2,0.038,-1.9267822736030829
2,2,0.039,-1.9249278152069298
2,2,0.04,-1.923076923076923
2,2,0.041,-1.921229586935639
2,2,0.042,-1.9193857965451055
2,2,0.043000000000000003,-1.9175455417066156
2,2,0.044,-1.9157088122605364
2,2,0.045,-1.9138755980861246
2,2,0.046,-1.9120458891013383
2,2,0.047,-1.9102196752626552
2,2,0.048,-1.9083969465648853
2,2,0.049,-1.9065776930409915
2,2,0.05,-1.9047619047619047
2,2,0.051000000000000004,-1.9029495718363465
2,2,0.052000000000000005,-1.9011406844106462
2,2,0.053,-1.8993352326685662
2,2,0.054,-1.8975332068311195
2,2,0.055,-1.8957345971563981
2,2,0.056,-1.8939393939393938
2,2,0.057,-1.892147587511826
2,2,0.058,-1.8903591682419658
2,2,0.059000000000000004,-1.8885741265344667
2,2,0.06,-1.8867924528301885
2,2,0.061,-1.885014137606032
2,2,0.062,-1.8832391713747645
2,2,0.063,-1.8814675446848543
2,2,0.064,-1.8796992481203008
2,2,0.065,-1.8779342723004695
2,2,0.066,-1.8761726078799248
2,2,0.067,-1.8744142455482662
2,2,0.068,-1.8726591760299625
2,2,0.069,-1.8709073900841908
2,2,0.07,-1.8691588785046729
2,2,0.07100000000000001,-1.8674136321195145
2,2,0.07200000000000001,-1.8656716417910446
2,2,0.073,-1.8639328984156571
2,2,0.074,-1.8621973929236497
2,2,0.075,-1.8604651162790697
2,2,0.076,-1.858736059479554
2,2,0.077,-1.8570102135561746
2,2,0.078,-1.8552875695732838
2,2,0.079,-1.8535681186283597
2,2,0.08,-1.8518518518518516
2,2,0.081,-1.8501387604070305
2,2,0.082,-1.8484288354898335
2,2,0.083,-1.8467220683287167
