dataset,shard_index,shard_count,d,lambda_ratio,lambda_star,lambda,log2N,N,alpha,delta_128,delta_256,delta_512,objective_256,objective_512,beta_512,scale_type,theory_scale,collapse_ratio,location_rel_change,value_rel_change,derivative_scaled,neighbor_left,neighbor_right,first_order_ok,neighbor_ok,accepted
phase_regimes,0,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,1.000000000000000000e+01,1024,1.000000000000000000e+00,3.047080913112620859e-02,3.046891080461766599e-02,3.046770284023436748e-02,6.906266936143449584e+02,6.906266816349021838e+02,5.036575459882743910e-01,subcritical,3.090643906484655604e-02,9.858043748200285838e-01,3.964737314239926449e-05,1.734575725670916747e-08,3.573967192904095014e-07,1.632961891118611675e-03,1.624024326588369149e-03,1,1,1
phase_regimes,0,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,1.800000000000000000e+01,262144,1.000000000000000000e+00,1.930061559470064303e-03,1.929941316945349428e-03,1.929864802875380647e-03,1.748893088880968571e+05,1.748893083979691437e+05,5.009602501090615334e-01,subcritical,1.931652441552909752e-03,9.990745546977943814e-01,3.964737315006689811e-05,2.802502439452659451e-09,1.531173069851531362e-08,2.541837250464595854e-02,2.531215612543746829e-02,1,1,1
phase_regimes,0,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,2.600000000000000000e+01,67108864,1.000000000000000000e+00,1.207704305288270774e-04,1.207385616575074039e-04,1.207182858453670349e-04,4.474126841150362045e+07,4.474126820530373603e+07,5.006180059291635009e-01,subcritical,1.207282775970568595e-04,9.999172376854147393e-01,1.679597419594005170e-04,4.608717917169576564e-09,1.319842765634187667e-09,4.063339233398437500e-01,4.039770588278770447e-01,1,1,1
phase_regimes,0,4,2,1.000000000000000056e-01,4.152787295564890901e-01,4.152787295564891457e-02,1.000000000000000000e+01,1024,1.005991205637178254e+00,3.219709121886005221e-02,3.218859505840221402e-02,3.218987125164141094e-02,6.887432998378870934e+02,6.887432883782155386e+02,4.957249383229090922e-01,subcritical,3.285151776264184226e-02,9.798594842472440059e-01,3.964580129011376688e-05,1.663852374051775784e-08,5.094536348268821388e-08,1.578807095256706816e-03,1.581949777119007194e-03,1,1,1
phase_regimes,0,4,2,1.000000000000000056e-01,4.152787295564890901e-01,4.152787295564891457e-02,1.800000000000000000e+01,262144,1.003328447576210092e+00,2.043738803898298428e-03,2.043866136429928204e-03,2.043947170353277443e-03,1.746877871844716137e+05,1.746877866854364111e+05,4.963570209479351569e-01,subcritical,2.050496021497201331e-03,9.968062112409551423e-01,3.964580128322620317e-05,2.856726346667134622e-09,1.500426513401750493e-08,2.421130976290442050e-02,2.432333381148055196e-02,1,1,1
phase_regimes,0,4,2,1.000000000000000056e-01,4.152787295564890901e-01,4.152787295564891457e-02,2.600000000000000000e+01,67108864,1.002304309860453158e+00,1.279299613430318061e-04,1.278962032165154028e-04,1.278911326690890249e-04,4.470680839933330566e+07,4.470680820228098333e+07,4.974152361967016378e-01,subcritical,1.280904698968848322e-04,9.984437778395514052e-01,3.964737289095456610e-05,4.407658033570754419e-09,7.624016331373496486e-10,3.852139264345169067e-01,3.866380453109741211e-01,1,1,1
phase_regimes,0,4,2,2.000000000000000111e-01,4.152787295564890901e-01,8.305574591129782913e-02,1.000000000000000000e+01,1024,1.011982411274356286e+00,3.410580401968088538e-02,3.410792893816849691e-02,3.410657670199535030e-02,6.868516372140933299e+02,6.868516262511720925e+02,4.873806231742212614e-01,subcritical,3.513534917109641109e-02,9.707197311718374078e-01,3.964737314335931197e-05,1.596112001264950234e-08,2.181670657539202514e-07,1.536113535621552728e-03,1.532748461386290728e-03,1,1,1
phase_regimes,0,4,2,2.000000000000000111e-01,4.152787295564890901e-01,8.305574591129782913e-02,1.800000000000000000e+01,262144,1.006656895152420184e+00,2.174891652559352018e-03,2.174317742688613997e-03,2.174403948675518450e-03,1.744864306397209875e+05,1.744864301295053738e+05,4.913980168630818768e-01,subcritical,2.190162393786084741e-03,9.928048964975035862e-01,3.964580130428987291e-05,2.924099102603594391e-09,2.823170177664854425e-08,2.324909504386596382e-02,2.306609009974636137e-02,1,1,1
phase_regimes,0,4,2,2.000000000000000111e-01,4.152787295564890901e-01,8.305574591129782913e-02,2.600000000000000000e+01,67108864,1.004608619720906315e+00,1.361889679029060218e-04,1.361804833520663394e-04,1.361750843676956535e-04,4.467239667126367986e+07,4.467239648379479349e+07,4.939326776363320293e-01,subcritical,1.367455692333023598e-04,9.958281290662266416e-01,3.964737305473371259e-05,4.196526292101495359e-09,1.821516694740602150e-09,3.645518496632575989e-01,3.679845631122589111e-01,1,1,1
phase_regimes,0,4,2,2.999999999999999889e-01,4.152787295564890901e-01,1.245836188669467159e-01,1.000000000000000000e+01,1024,1.017973616911534540e+00,3.625192657248432759e-02,3.625418520239198639e-02,3.625274787616949990e-02,6.849497718189930993e+02,6.849497613067087514e+02,4.785765837486472551e-01,subcritical,3.787370205956813729e-02,9.572010631321653529e-01,3.964737314247307156e-05,1.534752611321725663e-08,3.292214371300644542e-07,1.494094709187265835e-03,1.488699981678109907e-03,1,1,1
