dataset,shard_index,shard_count,d,lambda_ratio,lambda_star,lambda,log2N,N,alpha,radial_order,angular_order,state_bins,gamma,delta,beta,objective,derivative_logdelta,derivative_scaled,neighbor_left,neighbor_right,H_constant,scale_type,theory_scale,collapse_ratio,row_error,steps,evaluations,cgal_version
phase_regimes,0,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,1.000000000000000000e+01,1024,1.000000000000000000e+00,128,32,33,9.695291908688737914e-01,3.047080913112620859e-02,5.036428379479099826e-01,6.906268304145319235e+02,4.941919371503900038e-04,7.155701391643926532e-07,1.618176459260212141e-03,1.638880714722290577e-03,2.445374419422549350e-01,subcritical,3.090670449250345481e-02,9.858964141103113699e-01,4.773959005888173124e-15,1024,30,6.1.1-I-900
phase_regimes,0,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,1.000000000000000000e+01,1024,1.000000000000000000e+00,256,64,65,9.695310891953823340e-01,3.046891080461766599e-02,5.036518261947993125e-01,6.906266936143449584e+02,6.928547691131825559e-05,1.003226164756501218e-07,1.626644590942305513e-03,1.630352449751626409e-03,2.445337089232247907e-01,subcritical,3.090646858638733049e-02,9.858425177063940836e-01,3.164135620181696140e-14,1024,30,6.1.1-I-900
phase_regimes,0,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,1.000000000000000000e+01,1024,1.000000000000000000e+00,512,128,129,9.695322971597656325e-01,3.046770284023436748e-02,5.036575459882743910e-01,6.906266816349021838e+02,-2.468277102707361337e-04,3.573967192904095014e-07,1.632961891118611675e-03,1.624024326588369149e-03,2.445332417712827722e-01,subcritical,3.090643906484655604e-02,9.858043748200285838e-01,2.531308496145356912e-14,1024,30,6.1.1-I-900
phase_regimes,0,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,1.800000000000000000e+01,262144,1.000000000000000000e+00,128,32,33,9.980699384405299357e-01,1.930061559470064303e-03,5.009520789755270709e-01,1.748893121119413117e+05,8.116279786918312311e-03,4.640809486244264501e-08,2.520392133737914264e-02,2.552951499819755554e-02,2.445374419422549350e-01,subcritical,1.931669030781465925e-03,9.991678329538931091e-01,9.992007221626408864e-15,262144,30,6.1.1-I-900
phase_regimes,0,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,1.800000000000000000e+01,262144,1.000000000000000000e+00,256,64,65,9.980700586830546506e-01,1.929941316945349428e-03,5.009570724460192803e-01,1.748893088880968571e+05,2.435161150060594082e-03,1.392401379788592379e-08,2.531617693603038788e-02,2.541450053104199469e-02,2.445337089232247907e-01,subcritical,1.931654286649208156e-03,9.991132110358991181e-01,3.552713678800500929e-14,262144,30,6.1.1-I-900
phase_regimes,0,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,1.800000000000000000e+01,262144,1.000000000000000000e+00,512,128,129,9.980701351971246194e-01,1.929864802875380647e-03,5.009602501090615334e-01,1.748893083979691437e+05,-2.677857992239296436e-03,1.531173069851531362e-08,2.541837250464595854e-02,2.531215612543746829e-02,2.445332417712827722e-01,subcritical,1.931652441552909752e-03,9.990745546977943814e-01,2.242650509742816212e-14,262144,30,6.1.1-I-900
phase_regimes,0,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,2.600000000000000000e+01,67108864,1.000000000000000000e+00,128,32,33,9.998792295694711729e-01,1.207704305288270774e-04,5.005940427527038050e-01,4.474127053232446313e+07,4.386771470308303833e-01,9.804753906438507621e-09,3.963031396269798279e-01,4.139117300510406494e-01,2.445374419422549350e-01,subcritical,1.207293144238416203e-04,1.000340564387213416e+00,5.551115123125782702e-15,67108864,30,6.1.1-I-900
phase_regimes,0,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,2.600000000000000000e+01,67108864,1.000000000000000000e+00,256,64,65,9.998792614383424926e-01,1.207385616575074039e-04,5.006086869161051611e-01,4.474126841150362045e+07,1.685172319412231445e-01,3.766483113337371441e-09,4.018100723624229431e-01,4.084879681468009949e-01,2.445337089232247907e-01,subcritical,1.207283929155755097e-04,1.000084228255560426e+00,3.885780586188047891e-14,67108864,30,6.1.1-I-900
phase_regimes,0,4,2,0.000000000000000000e+00,4.152787295564890901e-01,0.000000000000000000e+00,2.600000000000000000e+01,67108864,1.000000000000000000e+00,512,128,129,9.998792817141546330e-01,1.207182858453670349e-04,5.006180059291635009e-01,4.474126820530373603e+07,-5.905143916606903076e-02,1.319842765634187667e-09,4.063339233398437500e-01,4.039770588278770447e-01,2.445332417712827722e-01,subcritical,1.207282775970568595e-04,9.999172376854147393e-01,2.509104035652853781e-14,67108864,30,6.1.1-I-900
phase_regimes,0,4,2,1.000000000000000056e-01,4.152787295564890901e-01,4.152787295564891457e-02,1.000000000000000000e+01,1024,1.005991205637178254e+00,128,32,33,9.678029087811399478e-01,3.219709121886005221e-02,4.956925832915620167e-01,6.887434313151373999e+02,1.726325081108370796e-03,2.506485002422453098e-06,1.545039594930130988e-03,1.615839441910793539e-03,2.460048290809516425e-01,subcritical,3.285179190036523200e-02,9.800710815565010225e-01,3.885780586188047891e-15,1024,30,6.1.1-I-900
phase_regimes,0,4,2,1.000000000000000056e-01,4.152787295564890901e-01,4.152787295564891457e-02,1.000000000000000000e+01,1024,1.005991205637178254e+00,256,64,65,9.678114049415977860e-01,3.218859505840221402e-02,4.957306581163840598e-01,6.887432998378870934e+02,-2.840913282398105366e-04,4.124778103927522850e-07,1.585188565741191269e-03,1.575563103301647061e-03,2.460011780734498443e-01,subcritical,3.285154811941153052e-02,9.798197315207319846e-01,5.995204332975845318e-15,1024,30,6.1.1-I-900
