panel,point_index,point_label,point_x,point_y,auxiliary_vertex_label,auxiliary_vertex_x,auxiliary_vertex_y,gamma
path,0,p_0,-0.60000000000000009,-0.40000000000000002,x_0,-0.60000000000000009,-0.40000000000000002,0
path,1,p_1,-0.80000000000000004,-0.20000000000000001,x_1,-0.80000000000000004,-0.20000000000000001,0
path,2,p_2,-0.66666666666666674,0.33333333333333337,x_2,-0.66666666666666674,0.33333333333333337,0
path,3,p_3,-0.20000000000000001,0.80000000000000004,x_3,-0.20000000000000001,0.80000000000000004,0
path,4,p_4,0.40000000000000002,0.60000000000000009,x_4,0.40000000000000002,0.60000000000000009,0
path,5,p_5,0.80000000000000004,0.20000000000000001,x_5,0.80000000000000004,0.20000000000000001,0
path,6,p_6,0.60000000000000009,-0.40000000000000002,x_6,0.60000000000000009,-0.40000000000000002,0
caterpillar,0,p_0,-0.60000000000000009,-0.40000000000000002,x_0,-0.60000000000000009,-0.40000000000000002,0.60000000000000009
caterpillar,1,p_1,-0.80000000000000004,-0.20000000000000001,x_1,-0.67999999999999994,-0.31999999999999995,0.60000000000000009
caterpillar,2,p_2,-0.66666666666666674,0.33333333333333337,x_2,-0.67466666666666675,-0.058666666666666673,0.60000000000000009
caterpillar,3,p_3,-0.20000000000000001,0.80000000000000004,x_3,-0.48480000000000001,0.28480000000000005,0.60000000000000009
caterpillar,4,p_4,0.40000000000000002,0.60000000000000009,x_4,-0.13088,0.41088000000000002,0.60000000000000009
caterpillar,5,p_5,0.80000000000000004,0.20000000000000001,x_5,0.24147200000000002,0.32652800000000004,0.60000000000000009
caterpillar,6,p_6,0.60000000000000009,-0.40000000000000002,x_6,0.38488319999999998,0.035916799999999999,0.60000000000000009
star,0,p_0,-0.60000000000000009,-0.40000000000000002,x_0,-0.60000000000000009,-0.40000000000000002,1
star,1,p_1,-0.80000000000000004,-0.20000000000000001,x_1,-0.60000000000000009,-0.40000000000000002,1
star,2,p_2,-0.66666666666666674,0.33333333333333337,x_2,-0.60000000000000009,-0.40000000000000002,1
star,3,p_3,-0.20000000000000001,0.80000000000000004,x_3,-0.60000000000000009,-0.40000000000000002,1
star,4,p_4,0.40000000000000002,0.60000000000000009,x_4,-0.60000000000000009,-0.40000000000000002,1
star,5,p_5,0.80000000000000004,0.20000000000000001,x_5,-0.60000000000000009,-0.40000000000000002,1
star,6,p_6,0.60000000000000009,-0.40000000000000002,x_6,-0.60000000000000009,-0.40000000000000002,1
