alpha,dimension,C2_norm,active_derivative_order,gamma_at_maximum
2,2,0.6666666666666666,0,0.5
2,3,0.35555555555555546,0,0.5
2,4,0.2222222222222222,0,0.5
2,5,0.15238095238095245,0,0.5
2,7,0.08465608465608462,0,0.5
2,10,0.04444444444444448,0,0.5
2,15,0.020915032679738557,0,0.5
2,20,0.012121212121212132,0,0.5
2,30,0.005555555555555554,0,0.5
2,50,0.002051282051282053,0,0.5
2,75,0.0009235209235209295,0,0.5
2,100,0.0005228758169934645,0,0.5
2,150,0.00023391812865497226,0,0.5
2,200,0.00013201320132013214,0,0.5
2,300,5.886681383370261e-05,0,0.5
2,500,2.1248339973439595e-05,0,0.5
4,2,4.7723456790123455,2,0.5
4,3,2.691657142857145,2,0.5
4,4,1.7509135802469136,2,0.5
4,5,1.2372279835390942,2,0.5
4,7,0.7169258724814276,2,0.5
4,10,0.3913594356261025,2,0.5
4,15,0.19096819172113297,2,0.5
4,20,0.1129732884399554,2,0.5
4,30,0.05295686274509813,2,0.5
4,50,0.019939744644929803,2,0.5
4,75,0.009070799130545959,2,0.5
4,100,0.005163188648678859,2,0.5
4,150,0.0023224768993190194,2,0.5
4,200,0.0013143383880871737,2,0.5
4,300,0.0005877262693156842,2,0.5
4,500,0.00021262310663284863,2,0.5
