dataset,shard_index,shard_count,d,lambda_ratio,lambda_star,lambda,log2N,N,alpha,evaluation_resolution,radial_order,angular_order,state_bins,z_order,z,G_N,a_w,b_w,profile_sum,delta_N,w_N,Delta_N,H_N,row_error,cgal_version
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,6.999999999999999556e-01,5.573685079505665690e-02,4.424665784467856494e-02,1.568803287997026091e-02,5.993469072464882585e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,8.881784197001252323e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,7.004215903281896249e-01,5.554359589872925884e-02,4.409582779490626298e-02,1.564119909203457240e-02,5.973702688694083884e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,1.099120794378904975e-14,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,7.016853456647310638e-01,5.496692722363751005e-02,4.364583154019687633e-02,1.550128430724799673e-02,5.914711584744487133e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,1.065814103640150279e-14,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,7.037882215123265617e-01,5.401606041624285731e-02,4.290408611943163225e-02,1.527003945544223168e-02,5.817412557487386393e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,3.885780586188047891e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,7.067251518588693049e-01,5.270611017044243146e-02,4.188274058848414499e-02,1.495035359630362583e-02,5.683309418478776909e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,1.698641227676489507e-14,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,7.104890613819095924e-01,5.105773850397044011e-02,4.059836664085984814e-02,1.454621087903898088e-02,5.514457751989883250e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,8.770761894538736669e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,7.150708824937268560e-01,4.909667739922134871e-02,3.907154407136348429e-02,1.406263164757095945e-02,5.313417571893444546e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,5.329070518200751394e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,7.204595771859426678e-01,4.685315018263903897e-02,3.732635817416629642e-02,1.350559898994053293e-02,5.083195716410682935e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,7.549516567451064475e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,7.266421636210496082e-01,4.436121081143151734e-02,3.538982906687605096e-02,1.288197231611295027e-02,4.827180138298900469e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,4.996003610813204432e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,7.336037474067947928e-01,4.165802522776382993e-02,3.329129460968303922e-02,1.219938977710125633e-02,4.549068438678429555e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,3.885780586188047891e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,7.413275574780756605e-01,3.878311850390064180e-02,3.106176902248480864e-02,1.146616150492757794e-02,4.252793052741238311e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,5.329070518200751394e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,7.497949864999047254e-01,3.577761220463535063e-02,2.873329857095278939e-02,1.069115575547134600e-02,3.942445432642413539e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,1.509903313490212895e-14,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,7.589856356941091509e-01,3.268347172206725187e-02,2.633833395439991523e-02,9.883680075909806809e-03,3.622201403030972378e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,3.885780586188047891e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,7.688773639817741978e-01,2.954278633018814909e-02,2.390913650142485747e-02,9.053359599230165894e-03,3.296249610065501989e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,1.332267629550187849e-14,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,7.794463413230420246e-01,2.639709407154049517e-02,2.147723221212738745e-02,8.210014496425218494e-03,2.968724670855260594e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,4.773959005888173124e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,7.906671061257641853e-01,2.328676876227809764e-02,1.907292433162175935e-02,7.363538500336857216e-03,2.643646283195861743e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,1.576516694967722287e-14,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,8.025126265847083440e-01,2.025047174267846639e-02,1.672487173459304144e-02,6.523780262510398692e-03,2.324865199710344013e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,5.884182030513329664e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,8.149543658035435234e-01,1.732468209465392456e-02,1.445973714645921657e-02,5.700429125046140889e-03,2.016016627150535659e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,3.885780586188047891e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,8.279623505427240460e-01,1.454330096118460272e-02,1.230190628036389837e-02,4.902906692255923002e-03,1.720481297261982137e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,6.217248937900876626e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,8.415052434276482085e-01,1.193733438668294865e-02,1.027327643905001815e-02,4.140265380301706537e-03,1.441354181935172382e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,5.329070518200751394e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,8.555504184431391712e-01,9.534648286383690802e-03,8.393111077376610302e-03,3.421094914301838191e-03,1.181420599167844893e-02,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,1.010302952408892452e-14,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,8.700640395323723242e-01,7.359795208983967857e-03,6.677955263358118475e-03,2.753437537884793635e-03,9.431392801242912544e-03,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,3.996802888650563546e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,8.850111421109007059e-01,5.433904223271715170e-03,5.141605897090102337e-03,2.144712504856116121e-03,7.286318401946218458e-03,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,3.885780586188047891e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,9.003557172994012259e-01,3.774630423110526389e-03,3.795129906179199770e-03,1.601650240296943186e-03,5.396780146476143174e-03,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,3.885780586188047891e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,9.160607986722184570e-01,2.396154562088455373e-03,2.646923374981532181e-03,1.130236391640067556e-03,3.777159766621599954e-03,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,3.885780586188047891e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,9.320885513127229460e-01,1.309227374097900708e-03,1.702804616008194577e-03,7.356658406441010266e-04,2.438470456652295712e-03,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,4.218847493575594854e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,9.484003629609381036e-01,5.212515146503080747e-04,9.661344861632477918e-04,4.223066153949827533e-04,1.388441101558230599e-03,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,3.885780586188047891e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,9.649569370338575425e-01,3.639593841820790019e-05,4.379577218246234510e-04,1.936735274691310906e-04,6.316312492937545958e-04,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,1.110223024625156540e-14,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,9.817183872943550105e-01,-1.442666434656218950e-04,1.171596554249230288e-04,5.241126259471493774e-05,1.695709180196379733e-04,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,4.551914400963141816e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,9.986443339406233521e-01,-2.259904541603670317e-05,6.333307964211185726e-07,2.865725491347095124e-07,9.199033455558281380e-07,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,6.661338147750939243e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,1.015694000884653558e+00,3.967732976687079918e-04,8.345271316030498021e-05,3.818915034940058263e-05,1.216418635097055628e-04,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,5.329070518200751394e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,1.032826313985403477e+00,1.106648852632279023e-03,3.590483595525888693e-04,1.661407185997008267e-04,5.251890781522896689e-04,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,9.325873406851314940e-15,6.1.1-I-900
objective_profiles,1,3,2,1.000000000000000000e+00,4.152787295564890901e-01,4.152787295564890901e-01,2.200000000000000000e+01,4194304,1.027232752896264367e+00,verification,128,32,33,65,1.049999999999999822e+00,2.097443236227172856e-03,8.193825526792298652e-04,3.833118206523368878e-04,1.202694373331566861e-03,4.520929552558217309e-04,2.208021020095080278e+00,1.363620156465742772e-03,2.512107982164820674e-01,3.885780586188047891e-15,6.1.1-I-900
