N,family,case,start,count,trajectories,mean_finite,mean_stationary_scale,mean_difference,variance_difference,variance_stationary_scale,covariance_difference_stationary_scale,saving_estimate_pct,saving_standard_error_pct,saving_lower95_pct,saving_upper95_pct
256,scaled_r,0,0,128,128,174.92499339099504,232.8587981767516,-57.933804785756564,1107.717040132994,1225.4260933289977,-1156.7358257965,24.879371206657982,0.9359468121770812,23.044915454790903,26.71382695852506
256,scaled_r,0,128,128,128,174.8861317378914,235.1741228967299,-60.2879911588385,1125.3767704429613,1204.5730308977993,-1156.348355233171,25.635469760128448,0.929529828723555,23.81359129583028,27.457348224426617
256,scaled_r,0,256,128,128,174.74487129250628,234.37781226243118,-59.63294096992491,1236.6457557767396,1328.3961597384566,-1274.5530717201698,25.443082855963482,0.9791077507974346,23.52403166440051,27.362134047526453
256,scaled_r,0,384,128,128,175.274333983264,233.80825333440944,-58.53391935114543,999.8935840867058,1065.872671668186,-1023.9204769959255,25.035009892241057,0.8898113858851755,23.290979575906114,26.779040208576
256,scaled_r,0,512,128,128,174.33345117031297,230.66135506733613,-56.32790389702315,1139.7233469101236,1256.0335577161181,-1189.7940008033095,24.420173843416272,0.9645009309790564,22.529752018697323,26.31059566813522
256,scaled_r,0,640,128,128,174.83233473703137,235.75124033114832,-60.91890559411696,1139.8764232327414,1261.6128768608085,-1192.5611022180037,25.8403330173564,0.9243131166893725,24.02867930864523,27.65198672606757
256,scaled_r,0,768,128,128,174.54195516206192,232.8682024710909,-58.326247309029,1250.1017403584212,1369.4719329223592,-1301.0643302997364,25.046892057437436,0.9928788944819961,23.100849424252722,26.99293469062215
256,scaled_r,0,896,128,128,175.4115882149254,238.53060055302745,-63.11901233810207,1186.5780412954043,1276.4931459010606,-1223.5760114269003,26.461599556519023,0.9289034807627612,24.64094873422401,28.282250378814034
256,scaled_r,0,1024,128,128,174.29989609983664,228.4482670649231,-54.14837096508645,1097.1200907620293,1169.9350674519185,-1125.3616277848523,23.702684052183216,0.970642297596882,21.800225148893325,25.605142955473106
256,scaled_r,0,1152,128,128,174.21674350019236,225.11095468313522,-50.89421118294284,1005.833330220292,1108.8709808639617,-1049.0834771690038,22.608500441296258,0.9522300916100567,20.742129461740547,24.47487142085197
256,scaled_r,0,1280,128,128,174.44572904153574,228.93608786514588,-54.49035882361015,1096.4416577201382,1159.7604280839264,-1120.2392597775868,23.801559348610663,0.968195127281947,21.903896899138047,25.69922179808328
256,scaled_r,0,1408,128,128,174.42796527113381,233.61849245294863,-59.1905271818148,1067.4338692531726,1112.5371182766842,-1081.0051518552325,25.336404905419002,0.9198337403675011,23.5335307742987,27.139279036539303
256,scaled_r,0,1536,128,128,174.8015893579795,231.00968283889378,-56.20809348091427,1278.874797824979,1394.3916551730074,-1327.1747595517859,24.331488096156477,1.0235164903608382,22.325395775049234,26.33758041726372
256,scaled_r,0,1664,128,128,174.79603775880776,234.14445404353498,-59.34841628472723,1281.6068595914205,1346.7848514059497,-1305.3312275847081,25.34692377283147,1.0033206739803262,23.38041525183003,27.31343229383291
256,scaled_r,0,1792,128,128,174.90940895534393,229.8369954570428,-54.927586501698876,1097.2487484853903,1202.3130005649878,-1139.7534754731114,23.89849658122815,0.9584581683852978,22.019918571192967,25.777074591263336
