N,family,case,case_index,r,alpha,H,delta_finite,delta_stationary_scale,finite_column,stationary_column
256,scaled_r,0,0,0.0,1.0,0.24453317379349931,0.06181286953801309,0.0,0,1
256,scaled_r,0.1,1,0.1,1.0074890070464726,0.24636759338545672,0.06543145923423115,8.421380285913666e-13,2,3
256,scaled_r,0.2,2,0.2,1.0149780140929454,0.2482026659548653,0.06945019197079444,8.830261376304842e-07,4,5
256,scaled_r,0.3,3,0.3,1.022467021139418,0.2500384040382092,0.07392918896083317,8.970787217971446e-05,6,7
256,scaled_r,0.4,4,0.4,1.0299560281858908,0.25187482015540885,0.07893629708904518,0.0009041786040721102,8,9
256,scaled_r,0.5,5,0.5,1.0374450352323634,0.2537119268101278,0.08454617018814417,0.003616634004474932,10,11
256,scaled_r,0.6,6,0.6,1.0449340422788362,0.25554973649006174,0.09083787766805368,0.009113143847335456,12,13
256,scaled_r,0.7,7,0.7,1.0524230493253088,0.2573882616672324,0.097890442494073,0.017634119869638545,14,15
256,scaled_r,0.8,8,0.8,1.0599120563717817,0.2592275147982836,0.10577588718584398,0.028931139262048385,16,17
256,scaled_r,0.85,9,0.85,1.0636565598950178,0.26014741823508214,0.11004927743012224,0.03547308241307055,18,19
256,scaled_r,0.9,10,0.9,1.0674010634182542,0.2610675083247692,0.11454993666016457,0.04252014496721873,20,21
256,scaled_r,0.95,11,0.95,1.0711455669414907,0.2619877866202304,0.1192805565476132,0.05000417473370992,22,23
256,scaled_r,0.975,12,0.975,1.0730178187031088,0.26244799683015346,0.12173232333909673,0.05388944428707976,24,25
256,scaled_r,1,13,1.0,1.074890070464727,0.26290825467344187,0.12424153915153525,0.05785969666311366,26,27
256,scaled_r,1.025,14,1.025,1.0767623222263452,0.2633685603439504,0.12680786065553307,0.06190739191103254,28,29
256,scaled_r,1.05,15,1.05,1.0786345739879633,0.2638289140354807,0.12943077888486337,0.06602529492941954,30,31
256,scaled_r,1.1,16,1.1,1.0823790775111997,0.26474976625653823,0.13484353340218763,0.07444437784208927,32,33
256,scaled_r,1.15,17,1.15,1.086123581034436,0.26567081288592076,0.14047240049501633,0.08306550825555747,34,35
256,scaled_r,1.2,18,1.2,1.0898680845576725,0.26659205547206577,0.1463074090912741,0.09184243874965876,36,37
256,scaled_r,1.3,19,1.3,1.097357091604145,0.2684351347040889,0.15854443509583477,0.10970359759013118,38,39
256,scaled_r,1.4,20,1.4,1.1048460986506177,0.27027901632300344,0.1714334279584003,0.1277531405860932,40,41
256,scaled_r,1.45,21,1.45,1.108590602173854,0.27120126188962834,0.17807866865152733,0.13678070835419995,42,43
