d,alpha,H_d_alpha,H_resolution_error,location_constant,cost_correction_constant
1,2.500000000000000000e-01,4.337186124145717830e-02,9.298117831235686026e-16,1.690902065633237417e-01,6.412533008707183013e-01
1,5.000000000000000000e-01,8.520781532048378459e-02,2.359223927328457648e-16,2.537350479354411048e-01,5.037212006015242549e-01
1,7.500000000000000000e-01,1.261324398868240437e-01,5.551115123125782702e-16,3.345353757145833606e-01,4.398772861822632385e-01
2,2.500000000000000000e-01,6.186251445379282315e-02,4.158127807352141048e-09,2.064847913200469343e-01,7.489960163447009212e-01
2,5.000000000000000000e-01,1.228670156970164129e-01,8.035582574339450446e-09,2.867896992859703675e-01,6.426329955517359194e-01
2,7.500000000000000000e-01,1.835848153164503505e-01,1.182798547993968441e-08,3.611950802965310237e-01,5.929822863589977455e-01
5,2.500000000000000000e-01,8.257858548028755574e-02,1.110223024625156540e-16,2.461894212131469362e-01,8.385675659149492978e-01
5,5.000000000000000000e-01,1.662564815144391972e-01,2.220446049250313081e-16,3.221915753341142996e-01,7.740262047914989729e-01
5,7.500000000000000000e-01,2.514308499038630518e-01,3.330669073875469621e-16,3.903398939840518334e-01,7.514886284374810987e-01
10,2.500000000000000000e-01,9.266551206680467834e-02,1.249000902703301108e-16,2.648119582252241311e-01,8.748237115862428359e-01
10,5.000000000000000000e-01,1.879163544497720606e-01,1.387778780781445676e-16,3.389242042943050315e-01,8.316742448700777945e-01
10,7.500000000000000000e-01,2.860747982031220382e-01,1.665334536937734811e-16,4.043347163937220379e-01,8.254397104798242291e-01
