representation,d,alpha,order,H
geometric,1,2.500000000000000000e-01,96,4.337186124135747334e-02
direct_d1,1,2.500000000000000000e-01,96,4.337186124154229078e-02
geometric,1,2.500000000000000000e-01,192,4.337186124145624849e-02
direct_d1,1,2.500000000000000000e-01,192,4.337186124145649829e-02
geometric,1,2.500000000000000000e-01,384,4.337186124145717830e-02
direct_d1,1,2.500000000000000000e-01,384,4.337186124145606808e-02
geometric,1,5.000000000000000000e-01,96,8.520781532046566020e-02
direct_d1,1,5.000000000000000000e-01,96,8.520781532049949425e-02
geometric,1,5.000000000000000000e-01,192,8.520781532048402052e-02
direct_d1,1,5.000000000000000000e-01,192,8.520781532048592177e-02
geometric,1,5.000000000000000000e-01,384,8.520781532048378459e-02
direct_d1,1,5.000000000000000000e-01,384,8.520781532048571361e-02
geometric,1,7.500000000000000000e-01,96,1.261324398868233498e-01
direct_d1,1,7.500000000000000000e-01,96,1.261324398868282626e-01
geometric,1,7.500000000000000000e-01,192,1.261324398868245988e-01
direct_d1,1,7.500000000000000000e-01,192,1.261324398868263474e-01
geometric,1,7.500000000000000000e-01,384,1.261324398868240437e-01
direct_d1,1,7.500000000000000000e-01,384,1.261324398868265417e-01
geometric,1,1.000000000000000000e+00,96,1.666666666666671015e-01
direct_d1,1,1.000000000000000000e+00,96,1.666666666666664909e-01
geometric,1,1.000000000000000000e+00,192,1.666666666666660190e-01
direct_d1,1,1.000000000000000000e+00,192,1.666666666666668795e-01
geometric,1,1.000000000000000000e+00,384,1.666666666666657692e-01
direct_d1,1,1.000000000000000000e+00,384,1.666666666666662133e-01
geometric,1,2.000000000000000000e+00,96,3.333333333333343695e-01
direct_d1,1,2.000000000000000000e+00,96,3.333333333333336479e-01
geometric,1,2.000000000000000000e+00,192,3.333333333333322601e-01
direct_d1,1,2.000000000000000000e+00,192,3.333333333333339255e-01
geometric,1,2.000000000000000000e+00,384,3.333333333333314275e-01
direct_d1,1,2.000000000000000000e+00,384,3.333333333333332593e-01
geometric,2,2.500000000000000000e-01,96,6.186255160432323902e-02
geometric,2,2.500000000000000000e-01,192,6.186251861192063051e-02
geometric,2,2.500000000000000000e-01,384,6.186251445379282315e-02
geometric,2,5.000000000000000000e-01,96,1.228670874893225545e-01
geometric,2,5.000000000000000000e-01,192,1.228670237325989872e-01
geometric,2,5.000000000000000000e-01,384,1.228670156970164129e-01
geometric,2,7.500000000000000000e-01,96,1.835849209904092116e-01
geometric,2,7.500000000000000000e-01,192,1.835848271444358304e-01
geometric,2,7.500000000000000000e-01,384,1.835848153164503505e-01
geometric,2,1.000000000000000000e+00,96,2.445333162022690077e-01
geometric,2,1.000000000000000000e+00,192,2.445331917323211313e-01
geometric,2,1.000000000000000000e+00,384,2.445331760445666747e-01
geometric,2,2.000000000000000000e+00,96,5.000003104707579915e-01
geometric,2,2.000000000000000000e+00,192,5.000000391082649598e-01
geometric,2,2.000000000000000000e+00,384,5.000000049075090658e-01
geometric,3,1.000000000000000000e+00,96,2.892857142857150343e-01
geometric,3,1.000000000000000000e+00,192,2.892857142857143682e-01
geometric,3,1.000000000000000000e+00,384,2.892857142857139796e-01
geometric,5,2.500000000000000000e-01,96,8.257858548028787493e-02
geometric,5,2.500000000000000000e-01,192,8.257858548028766676e-02
geometric,5,2.500000000000000000e-01,384,8.257858548028755574e-02
geometric,5,5.000000000000000000e-01,96,1.662564815144398078e-01
geometric,5,5.000000000000000000e-01,192,1.662564815144394192e-01
geometric,5,5.000000000000000000e-01,384,1.662564815144391972e-01
geometric,5,7.500000000000000000e-01,96,2.514308499038640510e-01
geometric,5,7.500000000000000000e-01,192,2.514308499038633848e-01
geometric,5,7.500000000000000000e-01,384,2.514308499038630518e-01
geometric,5,1.000000000000000000e+00,96,3.385040885040894731e-01
geometric,5,1.000000000000000000e+00,192,3.385040885040886960e-01
geometric,5,1.000000000000000000e+00,384,3.385040885040881964e-01
geometric,5,2.000000000000000000e+00,96,7.142857142857165220e-01
geometric,5,2.000000000000000000e+00,192,7.142857142857148567e-01
geometric,5,2.000000000000000000e+00,384,7.142857142857135244e-01
geometric,10,2.500000000000000000e-01,96,9.266551206680496977e-02
geometric,10,2.500000000000000000e-01,192,9.266551206680480324e-02
geometric,10,2.500000000000000000e-01,384,9.266551206680467834e-02
geometric,10,5.000000000000000000e-01,96,1.879163544497727267e-01
geometric,10,5.000000000000000000e-01,192,1.879163544497721994e-01
geometric,10,5.000000000000000000e-01,384,1.879163544497720606e-01
geometric,10,7.500000000000000000e-01,96,2.860747982031228709e-01
geometric,10,7.500000000000000000e-01,192,2.860747982031222048e-01
geometric,10,7.500000000000000000e-01,384,2.860747982031220382e-01
geometric,10,1.000000000000000000e+00,96,3.874833953478118986e-01
geometric,10,1.000000000000000000e+00,192,3.874833953478110105e-01
geometric,10,1.000000000000000000e+00,384,3.874833953478104553e-01
geometric,10,2.000000000000000000e+00,96,8.333333333333347026e-01
geometric,10,2.000000000000000000e+00,192,8.333333333333329263e-01
geometric,10,2.000000000000000000e+00,384,8.333333333333321491e-01
geometric,20,1.000000000000000000e+00,96,4.173951906871892215e-01
geometric,20,1.000000000000000000e+00,192,4.173951906871882778e-01
geometric,20,1.000000000000000000e+00,384,4.173951906871873896e-01
geometric,50,1.000000000000000000e+00,96,4.375206514096669497e-01
geometric,50,1.000000000000000000e+00,192,4.375206514096662835e-01
geometric,50,1.000000000000000000e+00,384,4.375206514096650068e-01
geometric,100,1.000000000000000000e+00,96,4.446380800125737665e-01
geometric,100,1.000000000000000000e+00,192,4.446380800125729338e-01
geometric,100,1.000000000000000000e+00,384,4.446380800125724342e-01
