resolution,d,alpha,gamma,uniform_cost_numeric,uniform_cost_used,adversarial_cost,stationary_iterations,stationary_residual
low_uniform,2,1.25,0.74079793254457305,0.57704009809116641,0.57704009809116641,1.0374678321649362,52,1.6441085082261037e-14
low_adversarial,2,1.25,0.94117647058823528,0.5974770354544704,0.5974770354544704,0.99233660006807245,241,1.8959094411909462e-14
low_balanced,2,1.25,0.85146568767428432,0.58284839714613701,0.58284839714613701,1.0022941516452353,95,1.4597046553806906e-14
medium_uniform,2,1.25,0.74079793254457305,0.57702204003063862,0.57702204003063862,1.0374678321649362,52,1.6344861749446141e-14
medium_adversarial,2,1.25,0.94117647058823528,0.59739926071358695,0.59739926071358695,0.99233660006807245,241,1.9031495521070649e-14
medium_balanced,2,1.25,0.85146568767428432,0.58281768261581179,0.58281768261581179,1.0022941516452353,95,1.4693812521465814e-14
high_uniform,2,1.25,0.74079793254457305,0.57701419223814343,0.57701419223814343,1.0374678321649362,52,1.6451832109721887e-14
high_adversarial,2,1.25,0.94117647058823528,0.59736501476822612,0.59736501476822612,0.99233660006807245,241,1.9100991884131246e-14
high_balanced,2,1.25,0.85146568767428432,0.58280421207914312,0.58280421207914312,1.0022941516452353,95,1.469428111352516e-14
low_uniform,2,1.5,0.64247440559377178,0.47541124828640968,0.47541124828640968,0.97920824512539195,36,1.5109988601285421e-14
low_adversarial,2,1.5,0.80000000000000004,0.49341373246406556,0.49341373246406556,0.94280904158206347,69,1.691752912775062e-14
low_balanced,2,1.5,0.72057692588439604,0.47989128848267021,0.47989128848267021,0.95168339721138662,48,1.427467810337669e-14
medium_uniform,2,1.5,0.64247440559377178,0.47539749727740449,0.47539749727740449,0.97920824512539195,36,1.5044690291153824e-14
medium_adversarial,2,1.5,0.80000000000000004,0.49338892020501157,0.49338892020501157,0.94280904158206347,69,1.6897046709289188e-14
medium_balanced,2,1.5,0.72057692588439604,0.47987383413741935,0.47987383413741935,0.95168339721138662,48,1.4297245571549432e-14
high_uniform,2,1.5,0.64247440559377178,0.47539149312263657,0.47539149312263657,0.97920824512539195,36,1.5104329344610318e-14
high_adversarial,2,1.5,0.80000000000000004,0.49337800854108232,0.49337800854108232,0.94280904158206347,69,1.694971012241674e-14
high_balanced,2,1.5,0.72057692588439604,0.47986619897004246,0.47986619897004246,0.95168339721138662,48,1.4349146796753063e-14
low_uniform,2,2,0.58113883008418976,0.32457600443798384,0.32455532033675866,0.82106723119177927,30,1.0607896878566624e-14
low_adversarial,2,2,0.66666666666666663,0.33336014437528422,0.33333333333333337,0.80000000000000027,39,1.6441868184209572e-14
low_balanced,2,2,0.6227766018055888,0.32671519898296936,0.32669203346411624,0.80526680776792336,34,1.1934690584806726e-14
medium_uniform,2,2,0.58113883008418976,0.32456447905042018,0.32455532033675866,0.82106723119177927,30,1.0584670189379183e-14
medium_adversarial,2,2,0.66666666666666663,0.33334508912221517,0.33333333333333337,0.80000000000000027,39,1.6497330426285988e-14
medium_balanced,2,2,0.6227766018055888,0.32670222531394028,0.32669203346411624,0.80526680776792336,34,1.1847933575289324e-14
high_uniform,2,2,0.58113883008418976,0.32455934978560019,0.32455532033675866,0.82106723119177927,30,1.0628905857343949e-14
high_adversarial,2,2,0.66666666666666663,0.33333852888025822,0.33333333333333337,0.80000000000000027,39,1.6485983288025629e-14
high_balanced,2,2,0.6227766018055888,0.32669654130911085,0.32669203346411624,0.80526680776792336,34,1.1969940395973483e-14
