resolution,d,alpha,gamma,uniform_cost_numeric,uniform_cost_used,adversarial_cost,stationary_iterations,stationary_residual
high,1,1.5,0.5,0.34144533313135278,0.34144533313135278,1.0886621079036347,23,1.9132344237875406e-14
low,1,1.5,0.5,0.34145989849963015,0.34145989849963015,1.0886621079036347,23,1.9068886308371559e-14
medium,1,1.5,0.5,0.34145027239286874,0.34145027239286874,1.0886621079036347,23,1.9026303086960907e-14
high,1,1.5,0.50160000000000005,0.34119802475916294,0.34119802475916294,1.0869267419087529,24,5.5677071013587747e-15
high,1,1.5,0.50319999999999998,0.34095382805534408,0.34095382805534408,1.0852043245338565,24,6.4125173294680869e-15
high,1,1.5,0.50480000000000003,0.34071273076809844,0.34071273076809844,1.0834947988446617,24,7.3301910344932246e-15
high,1,1.5,0.50639999999999996,0.34047477262237535,0.34047477262237535,1.0817981082637544,24,8.5149113533342523e-15
high,1,1.5,0.50800000000000001,0.34023992730089597,0.34023992730089597,1.0801141965683152,24,9.6888231731033943e-15
high,1,1.5,0.50960000000000005,0.34000819454129161,0.34000819454129161,1.0784430078878617,24,1.1103099871188399e-14
high,1,1.5,0.51119999999999999,0.33977956339011073,0.33977956339011073,1.0767844867020171,24,1.2851006622870582e-14
high,1,1.5,0.51280000000000003,0.33955402640964916,0.33955402640964916,1.0751385778382991,24,1.4826784641952547e-14
high,1,1.5,0.51439999999999997,0.33933157860428731,0.33933157860428731,1.0735052264699279,24,1.6943172311079793e-14
high,1,1.5,0.51600000000000001,0.33911221335132369,0.33911221335132369,1.0718843781136604,24,1.9596223274410843e-14
low,1,1.5,0.51600000000000001,0.33912750508462569,0.33912750508462569,1.0718843781136604,24,1.958981746846425e-14
medium,1,1.5,0.51600000000000001,0.33911692037431668,0.33911692037431668,1.0718843781136604,24,1.9545086773329301e-14
high,1,1.5,0.51759999999999995,0.33889592141094221,0.33889592141094221,1.0702759786276437,25,6.0646043021727864e-15
high,1,1.5,0.51919999999999999,0.33868269722143657,0.33868269722143657,1.0686799742092856,25,7.0404707772791758e-15
high,1,1.5,0.52080000000000004,0.33847253400156579,0.33847253400156579,1.0670963113931566,25,8.2200515705020836e-15
high,1,1.5,0.52239999999999998,0.33826542445836827,0.33826542445836827,1.0655249370488973,25,9.3662937039761985e-15
high,1,1.5,0.52400000000000002,0.33806136406312659,0.33806136406312659,1.0639657983791635,25,1.0733303296180327e-14
